array1;array2;array3;array4;array5;array6;array7;array8;array9;array10;array11;array12;array13;array14;array15;array16;array17;array18;array19;array20;array21;array22;array23;array24;array25;array26;array27;array28;array29;array30;item;categorie;supercategorie
regal;aal;streichholz;bus;regal;schachtel;kopfkissen;gurke;besen;paprika;pelzmantel;karotte;kirsche;flasche;fliege;tasse;flasche;biene;schaufel;karotte;daunenweste;daunenweste;karotte;schaufel;schaf;schaf;orchidee;gitarre;gitarre;harfe;pelzmantel;Jacken;Kleidung
hai;motorrad;schachtel;luftballon;kutsche;kutsche;arztkittel;axt;kapuzenpulli;axt;kartoffel;axt;becher;biene;trauben;schwert;kirsche;kirsche;pinsel;kapuzenpulli;kartoffel;pfeife;ball;schornstein;tulpe;kassette;kuh;rose;reh;kuh;kapuzenpulli;Jacken;Kleidung
motorrad;safe;goldfisch;aal;spaghetti;hai;gurke;arztkittel;kartoffel;arztkittel;schaufel;arztkittel;ameise;trauben;luftballon;ventilator;fächer;zigarette;karotte;axt;sense;gurke;axt;käfig;fenster;orchidee;cd;pferd;streichholz;sonnenblume;arztkittel;Jacken;Kleidung
schublade;rochen;ampel;fenster;kleiderschrank;streichholz;streichholz;brokkoli;säge;gurke;kapuzenpulli;gurke;trauben;becher;biene;glas;kanne;glas;besen;gurke;kapuzenpulli;besen;kapuzenpulli;paprika;kuh;schlagzeug;rose;schlagzeug;orchidee;gitarre;daunenweste;Jacken;Kleidung
säge;kartoffel;tafel;sakko;parfum;schaufel;geige;löwenzahn;schaf;gitarre;reh;geige;brokkoli;kassette;paprika;arztkittel;gurke;pelzmantel;aal;safe;aal;aal;bus;schublade;eis;ohr;fuss;eis;hammer;zange;kartoffel;Gemüse;Lebensmittel
karotte;sense;kerze;axt;brokkoli;kapuzenpulli;mülleimer;pfeife;rose;luftballon;tulpe;kuh;kapuzenpulli;pelzmantel;pelzmantel;paprika;arztkittel;besen;luftballon;steckdose;kutsche;bus;regal;hai;zange;eis;zange;glocke;fächer;bonbon;paprika;Gemüse;Lebensmittel
daunenweste;daunenweste;schaufel;paprika;mülleimer;brokkoli;orchidee;schaf;klavier;mülleimer;kerze;cd;kassette;gurke;säge;schaufel;cd;tafel;kleiderschrank;rochen;tafel;baby;käfig;cd;cd;bohrmaschine;teppich;ohr;bonbon;cd;gurke;Gemüse;Lebensmittel
glocke;brokkoli;kartoffel;kapuzenpulli;briefmarke;sense;kuh;geige;pferd;löwenzahn;harfe;schlagzeug;schaufel;säge;kartoffel;käfig;karotte;brokkoli;goldfisch;schublade;delfin;schachtel;motorrad;bus;kuchen;briefkasten;eis;feile;feile;arm;brokkoli;Gemüse;Lebensmittel
brokkoli;schaufel;pelzmantel;sense;karotte;tafel;gitarre;bürste;kerze;geige;orchidee;orchidee;pfeife;käfig;parfum;briefmarke;säge;käfig;auto;motorrad;bus;kutsche;kleiderschrank;aal;bein;fuss;feile;kekse;arm;bohrmaschine;karotte;Gemüse;Lebensmittel
pelzmantel;sakko;kamera;gurke;pelzmantel;karotte;löwenzahn;schwert;gitarre;kuh;mülleimer;schwamm;paprika;brokkoli;axt;gurke;pelzmantel;arztkittel;schachtel;baby;schachtel;würfel;fenster;kleiderschrank;schraubenzieher;feile;bein;hand;eis;kekse;sense;Baürnhof;Werkzeug
schaufel;pfeife;gurke;arztkittel;säge;daunenweste;pferd;sonnenblume;pfeife;rose;schlagzeug;lippenstift;säge;kapuzenpulli;karotte;schwamm;kartoffel;kartoffel;mülleimer;delfin;goldfisch;schublade;rochen;kutsche;käfig;pfeife;kuchen;bohrmaschine;zange;hand;axt;Baürnhof;Werkzeug
gurke;karotte;daunenweste;schaufel;zigarette;schlüssel;harfe;klavier;orchidee;klavier;kamel;tulpe;arztkittel;mikrofon;daunenweste;puppe;besen;axt;motorrad;lkw;motorrad;motorrad;schublade;delfin;ohr;kekse;schraubenzieher;schokolade;fuss;schraubenzieher;schaufel;Baürnhof;Werkzeug
käfig;pelzmantel;waage;kartoffel;tafel;gurke;tulpe;pferd;kuh;reh;ventilator;schaf;gurke;besen;teppich;kapuzenpulli;schornstein;schlüssel;regal;regal;regal;rochen;pfeife;zigarette;feile;arm;arm;fuss;kekse;kuchen;besen;Baürnhof;Werkzeug
besen;schornstein;brokkoli;kamera;axt;sakko;kamel;briefkasten;puppe;orchidee;sonnenblume;bürste;besen;pinsel;sense;sense;sakko;karotte;delfin;ball;briefkasten;safe;goldfisch;motorrad;mikrofon;schraubenzieher;bonbon;hammer;pfeife;schwert;säge;Baürnhof;Werkzeug
kartoffel;säge;besen;briefmarke;sakko;cd;ampel;harfe;tulpe;schwamm;schaf;harfe;daunenweste;sakko;arztkittel;brille;sense;sakko;bus;goldfisch;lkw;cd;schachtel;regal;arm;bonbon;bohrmaschine;mikrofon;cd;feile;pferd;Huftiere;Tiere
kapuzenpulli;käfig;arztkittel;säge;gurke;besen;sonnenblume;reh;harfe;fächer;geige;kamel;briefkasten;karotte;gurke;brokkoli;kopfhörer;teppich;safe;schachtel;rochen;fächer;waage;puppe;kassette;hand;schwert;kuchen;schokolade;fuss;kuh;Huftiere;Tiere
kerze;gurke;karotte;karotte;besen;paprika;schlüssel;tulpe;kamel;pferd;rose;mikrofon;sense;axt;besen;axt;paprika;gurke;zigarette;brille;safe;delfin;lkw;lkw;kekse;ventilator;schornstein;fenster;schraubenzieher;lippenstift;reh;Huftiere;Tiere
paprika;besen;säge;fächer;kapuzenpulli;kopfhörer;klavier;gitarre;sonnenblume;tulpe;spaghetti;rose;briefmarke;arztkittel;spaghetti;sakko;schaufel;schaufel;kutsche;kutsche;briefmarke;lkw;aal;baby;hammer;ball;kekse;zange;hand;hammer;schaf;Huftiere;Tiere
sense;arztkittel;kapuzenpulli;steckdose;kartoffel;pelzmantel;kassette;tafel;geige;schlagzeug;klavier;pferd;kartoffel;kartoffel;brokkoli;kartoffel;pinsel;kapuzenpulli;rochen;kleiderschrank;hai;regal;fächer;schachtel;fuss;bein;ohr;arm;mikrofon;ohr;kamel;Huftiere;Tiere
sakko;parfum;paprika;daunenweste;schaufel;axt;pfeife;rose;fenster;schaf;kuh;klavier;pelzmantel;sense;sakko;besen;daunenweste;ball;würfel;hai;schublade;hai;auto;auto;schokolade;kuchen;luftballon;brille;kuchen;fenster;gitarre;Instrumente;Misc I
pinsel;axt;sense;brokkoli;daunenweste;kartoffel;schaf;kuh;reh;sonnenblume;löwenzahn;löwenzahn;axt;pfeife;schaufel;pelzmantel;brokkoli;sense;lkw;bus;auto;auto;delfin;goldfisch;bohrmaschine;hammer;hammer;bonbon;ohr;eis;klavier;Instrumente;Misc I
axt;paprika;kopfkissen;besen;paprika;arztkittel;schlagzeug;schlagzeug;schlagzeug;harfe;gitarre;reh;karotte;daunenweste;kerze;karotte;axt;daunenweste;schublade;spaghetti;schwamm;käfig;safe;luftballon;hand;kamera;hand;bein;bohrmaschine;bein;schlagzeug;Instrumente;Misc I
arztkittel;kapuzenpulli;sakko;pelzmantel;sense;säge;rose;orchidee;luftballon;kamel;pferd;gitarre;sakko;schaufel;kapuzenpulli;säge;kapuzenpulli;paprika;tafel;aal;kopfkissen;goldfisch;kutsche;safe;zigarette;schokolade;mülleimer;schraubenzieher;ventilator;pfeife;geige;Instrumente;Misc I
pfeife;waage;axt;mülleimer;arztkittel;fernglas;reh;kamel;löwenzahn;teppich;ampel;sonnenblume;teppich;paprika;briefkasten;daunenweste;kamera;säge;hai;auto;kleiderschrank;kleiderschrank;hai;rochen;bonbon;zange;schokolade;schwert;bein;schokolade;harfe;Instrumente;Misc I
reh;tulpe;tulpe;kuh;schlagzeug;rose;würfel;löffel;schneebesen;spaghetti;baby;löwe;ventilator;stuhl;stuhl;steckdose;kirche;schloss;ventilator;ohr;baby;arm;briefkasten;bürste;sessel;hochhaus;mikrofon;sessel;burg;schloss;rose;Blumen;Misc II
zigarette;pferd;fenster;streichholz;schwamm;badewanne;kette;spaghetti;panther;ohrring;löwe;messer;kopfhörer;parfum;schwan;burg;ball;couch;arm;kekse;schraubenzieher;schokolade;schraubenzieher;bonbon;kopfkissen;hocker;ampel;kirche;luftballon;eule;löwenzahn;Blumen;Misc II
bürste;harfe;bürste;schlagzeug;tulpe;pferd;messer;armband;mikrofon;messer;kette;ohrring;strauss;ente;fächer;strauss;briefkasten;glocke;kamera;feile;schokolade;schraubenzieher;eis;hand;taube;taube;hocker;schornstein;taube;bank;sonnenblume;Blumen;Misc II
kamel;schwert;reh;lippenstift;schaf;orchidee;leopard;löwe;kelle;bär;pfeife;schornstein;couch;luftballon;briefmarke;bank;hocker;streichholz;bonbon;bein;bein;kopfkissen;bein;briefkasten;stuhl;tempel;ente;hocker;hochhaus;hochhaus;orchidee;Blumen;Misc II
rose;kamel;orchidee;kopfhörer;ampel;geige;armband;gabel;löwe;kette;panther;tiger;fächer;ventilator;tempel;hochhaus;ente;sessel;zange;schokolade;bohrmaschine;bonbon;bohrmaschine;kuchen;puppe;stuhl;burg;hochhaus;couch;schwan;tulpe;Blumen;Misc II
gitarre;klavier;schlüssel;reh;würfel;kamel;kelle;kette;ohrring;löffel;parfum;kette;burg;kirche;streichholz;ente;lippenstift;kirche;badewanne;hammer;kuchen;hammer;schokolade;feile;hochhaus;schwan;stuhl;strauss;strauss;stuhl;schere;Büro;Werkzeug
pferd;löwenzahn;geige;ampel;pferd;löwenzahn;mikrofon;bär;messer;panther;gabel;schwert;hocker;strauss;ente;stuhl;burg;pfeife;eis;fuss;kopfhörer;bein;fuss;ohr;glocke;kirche;strauss;bank;ball;kirche;bleistift;Büro;Werkzeug
sonnenblume;kerze;kamel;rose;geige;klavier;ring;schneebesen;tiger;ring;ohrring;kelle;eule;briefkasten;hocker;tempel;strauss;eule;feile;bonbon;fuss;kuchen;feile;kekse;eule;spaghetti;schloss;burg;sessel;luftballon;klammer;Büro;Werkzeug
geige;geige;briefkasten;klavier;pfeife;kuh;löffel;ring;brosche;schneebesen;zigarette;armband;tempel;bank;kirche;schwan;parfum;luftballon;teppich;zange;käfig;zange;bonbon;schraubenzieher;spaghetti;schwamm;briefmarke;schwan;schwan;hocker;lineal;Büro;Werkzeug
schwert;rose;parfum;kamel;rose;tulpe;bär;fenster;würfel;badewanne;löffel;leopard;sessel;schwan;eule;parfum;sessel;burg;kekse;arm;kekse;kerze;ampel;kerze;würfel;burg;couch;couch;kirche;briefmarke;radiergummi;Büro;Werkzeug
kuh;schaf;gitarre;orchidee;harfe;mülleimer;brosche;kassette;bär;armband;brosche;kopfhörer;spaghetti;burg;ball;kirche;schloss;ente;fuss;glocke;feile;ohr;arm;fuss;schloss;parfum;baby;schloss;teppich;strauss;u-boot;Wasser;Fortbewegungsmittel
ampel;mikrofon;pferd;harfe;kuh;schlagzeug;schneebesen;kelle;kopfhörer;leopard;leopard;ring;ente;sessel;couch;couch;taube;hocker;bohrmaschine;kuchen;ampel;feile;badewanne;zange;bank;ente;tempel;würfel;ente;couch;gondel;Wasser;Fortbewegungsmittel
harfe;schlagzeug;löwenzahn;mikrofon;sonnenblume;reh;tiger;brosche;armband;gabel;schneebesen;schneebesen;bank;bürste;schloss;taube;stuhl;tempel;kuchen;bohrmaschine;ohr;waage;kuchen;ventilator;strauss;couch;schwan;eule;hocker;mülleimer;segelschiff;Wasser;Fortbewegungsmittel
tulpe;bürste;harfe;löwenzahn;ball;briefkasten;pinsel;panther;leopard;parfum;armband;bär;kirche;schloss;schwert;kopfkissen;hochhaus;schwan;bein;zigarette;zange;eis;hand;schokolade;burg;puppe;bank;tempel;zigarette;ente;kanu;Wasser;Fortbewegungsmittel
puppe;kuh;kuh;geige;gitarre;gitarre;schornstein;würfel;löffel;löwe;käfig;brosche;schwan;taube;strauss;sessel;mikrofon;stuhl;kopfhörer;eis;eis;bohrmaschine;hammer;bohrmaschine;couch;eule;hochhaus;baby;mülleimer;fernglas;yacht;Wasser;Fortbewegungsmittel
schlagzeug;sonnenblume;rose;schaf;reh;spaghetti;panther;ohrring;kette;kelle;tiger;löffel;stuhl;couch;bank;schloss;bank;schwamm;hammer;hand;hand;pinsel;pinsel;arm;schwan;sessel;badewanne;ente;stuhl;tempel;kühlschrank;Küche;Möbel
löwenzahn;gitarre;klavier;tulpe;löwenzahn;sonnenblume;ohrring;leopard;zigarette;kerze;kelle;glocke;hochhaus;hochhaus;hochhaus;kopfhörer;eule;strauss;ohr;lippenstift;schwert;fuss;ohr;parfum;tempel;schloss;eule;stuhl;tempel;taube;herd;Küche;Möbel
schaf;reh;schaf;gitarre;klavier;harfe;fenster;messer;gabel;tiger;ring;panther;taube;eule;taube;hocker;tempel;hochhaus;schokolade;mikrofon;bonbon;luftballon;zange;eis;hocker;strauss;kirche;briefkasten;eule;bürste;mikrowelle;Küche;Möbel
klavier;orchidee;sonnenblume;pferd;kamel;kerze;löwe;cd;ring;brosche;bär;gabel;badewanne;hocker;sessel;kassette;couch;bank;schraubenzieher;schraubenzieher;arm;kekse;schwamm;bein;ente;bank;sessel;taube;bank;burg;kaffeemaschine;Küche;Möbel
orchidee;luftballon;schlagzeug;sonnenblume;orchidee;schaf;gabel;tiger;cd;steckdose;messer;schlüssel;schloss;tempel;burg;eule;schwan;taube;hand;streichholz;hammer;hand;kekse;hammer;kirche;zigarette;taube;kerze;schloss;sessel;geschirrspüler;Küche;Möbel
mikrowelle;kanu;glocke;puppe;kopfhörer;gondel;auto;kopfkissen;auto;kutsche;lkw;lkw;panther;leopard;zigarette;ring;leopard;fernglas;trauben;briefmarke;ball;marienkäfer;flasche;ameise;karotte;kopfkissen;besen;brokkoli;sakko;sense;fliege;Insekten;Tiere
segelschiff;fächer;geschirrspüler;schere;herd;mikrowelle;regal;safe;schublade;streichholz;regal;goldfisch;kelle;ring;brosche;löwe;luftballon;tiger;tasse;badewanne;becher;tasse;fliege;birne;lippenstift;paprika;fernglas;kassette;brokkoli;kartoffel;biene;Insekten;Tiere
mikrofon;herd;pfeife;kaffeemaschine;teppich;klammer;brille;puppe;aal;briefkasten;rochen;teppich;ohrring;gabel;leopard;glocke;messer;ohrring;fächer;ameise;ameise;lippenstift;birne;mülleimer;schaufel;fenster;paprika;schaufel;tafel;arztkittel;spinne;Insekten;Tiere
bleistift;u-boot;schere;kanu;lineal;u-boot;kutsche;kutsche;lkw;goldfisch;motorrad;regal;glocke;panther;schneebesen;kette;tiger;baby;ameise;glas;birne;fliege;kopfhörer;fliege;luftballon;kopfhörer;arztkittel;paprika;sense;waage;marienkäfer;Insekten;Tiere
u-boot;bleistift;kühlschrank;tafel;mikrowelle;schornstein;waage;kamera;schachtel;kleiderschrank;schachtel;delfin;bär;teppich;ohrring;messer;ohrring;löwe;glas;kopfkissen;kanne;banane;kanne;kirsche;sakko;sakko;säge;käfig;schornstein;axt;ameise;Insekten;Tiere
brille;kühlschrank;gondel;lineal;kanu;geschirrspüler;hai;luftballon;schwamm;auto;aal;bus;armband;schneebesen;panther;badewanne;gabel;kelle;baby;banane;spinne;glas;trauben;tasse;axt;kartoffel;gurke;kapuzenpulli;briefmarke;pelzmantel;apfel;Obst;Lebensmittel
radiergummi;gondel;bleistift;u-boot;schere;bleistift;lkw;hai;hai;hai;kutsche;pfeife;käfig;brosche;gabel;brosche;panther;ring;kirsche;marienkäfer;trauben;tafel;puppe;biene;kartoffel;besen;sakko;axt;pelzmantel;ampel;trauben;Obst;Lebensmittel
kanu;klammer;mikrowelle;kühlschrank;schlüssel;käfig;cd;kleiderschrank;kleiderschrank;schublade;lippenstift;aal;leopard;löwe;tafel;schneebesen;kette;bär;fliege;kamera;tasse;apfel;glas;trauben;kapuzenpulli;arztkittel;ball;bürste;schlüssel;karotte;birne;Obst;Lebensmittel
geschirrspüler;kaffeemaschine;yacht;schlüssel;segelschiff;herd;aal;auto;kutsche;motorrad;schwamm;safe;kette;messer;tiger;tiger;kelle;messer;streichholz;birne;fliege;becher;tafel;schlüssel;sense;badewanne;brokkoli;arztkittel;puppe;sakko;banane;Obst;Lebensmittel
schornstein;yacht;puppe;yacht;radiergummi;radiergummi;schachtel;delfin;goldfisch;aal;auto;kamera;messer;ohrring;messer;fächer;löwe;schwert;birne;kanne;kerze;puppe;apfel;marienkäfer;gurke;sense;kapuzenpulli;besen;besen;besen;kirsche;Obst;Lebensmittel
lineal;würfel;kaffeemaschine;geschirrspüler;geschirrspüler;kanu;bus;pinsel;regal;schwert;hai;hai;streichholz;bär;ampel;löffel;kerze;kette;marienkäfer;schlüssel;apfel;biene;spinne;kanne;pinsel;kapuzenpulli;brille;karotte;gurke;gurke;glas;Trinkgefässe;Misc II
kühlschrank;schere;badewanne;klammer;streichholz;kühlschrank;puppe;lkw;glocke;pinsel;safe;schublade;brosche;löffel;ring;panther;armband;löffel;becher;biene;biene;briefkasten;tasse;kopfkissen;arztkittel;karotte;sense;sakko;daunenweste;badewanne;flasche;Trinkgefässe;Misc II
baby;mikrowelle;kanu;segelschiff;yacht;puppe;delfin;schublade;kassette;delfin;teppich;motorrad;löffel;schwamm;löffel;briefkasten;schlüssel;briefkasten;banane;trauben;flasche;birne;kirsche;spinne;ball;schaufel;daunenweste;streichholz;axt;daunenweste;tasse;Trinkgefässe;Misc II
schere;steckdose;klammer;schornstein;kaffeemaschine;brille;schublade;aal;safe;safe;goldfisch;rochen;tiger;tafel;schlüssel;kelle;waage;panther;spinne;tasse;banane;spinne;biene;becher;besen;daunenweste;fenster;gurke;kartoffel;säge;becher;Trinkgefässe;Misc II
kaffeemaschine;segelschiff;ventilator;radiergummi;waage;lineal;fächer;bus;käfig;lkw;kleiderschrank;parfum;kerze;kelle;kopfkissen;leopard;ring;brosche;flasche;spinne;schornstein;flasche;teppich;apfel;pelzmantel;brokkoli;kartoffel;säge;kapuzenpulli;glocke;kanne;Trinkgefässe;Misc II
gondel;radiergummi;u-boot;mikrowelle;u-boot;yacht;rochen;regal;delfin;rochen;kamera;kutsche;gabel;glocke;löwe;armband;löffel;gabel;apfel;apfel;kassette;trauben;becher;streichholz;paprika;axt;waage;daunenweste;schaufel;mikrofon;eis;Süssigkeiten;Lebensmittel
briefmarke;briefkasten;radiergummi;ball;bleistift;kaffeemaschine;safe;rochen;bus;regal;delfin;schachtel;löwe;kette;kette;würfel;bär;kopfkissen;ampel;becher;kirsche;ameise;marienkäfer;flasche;baby;pelzmantel;axt;kartoffel;karotte;brokkoli;kuchen;Süssigkeiten;Lebensmittel
herd;geschirrspüler;herd;bleistift;kühlschrank;schere;motorrad;motorrad;ampel;bus;schublade;würfel;ring;tiger;kelle;bär;brosche;armband;biene;fliege;marienkäfer;kanne;schwert;lippenstift;säge;kerze;karotte;sense;arztkittel;schaufel;schokolade;Süssigkeiten;Lebensmittel
yacht;lineal;segelschiff;herd;gondel;segelschiff;goldfisch;schachtel;rochen;fernglas;bus;auto;schneebesen;brille;bär;gabel;badewanne;schneebesen;kanne;kirsche;glas;kirsche;banane;banane;brokkoli;gurke;pelzmantel;pelzmantel;säge;kapuzenpulli;kekse;Süssigkeiten;Lebensmittel
klammer;briefmarke;lineal;gondel;klammer;pfeife;kleiderschrank;goldfisch;motorrad;schachtel;badewanne;kleiderschrank;luftballon;armband;armband;ohrring;schneebesen;leopard;käfig;flasche;kamera;fenster;ameise;glas;daunenweste;säge;schaufel;kamera;paprika;paprika;bonbon;Süssigkeiten;Lebensmittel
becher;fernglas;kanne;briefkasten;biene;becher;schere;kühlschrank;kanu;kanu;kanu;yacht;kutsche;goldfisch;rochen;delfin;motorrad;motorrad;kühlschrank;lineal;u-boot;zigarette;steckdose;klammer;delfin;fächer;schwamm;schublade;kutsche;kutsche;hammer;Heimwerker;Werkzeug
ameise;birne;ball;flasche;banane;spinne;kaffeemaschine;bleistift;radiergummi;waage;klammer;bleistift;safe;motorrad;kleiderschrank;kutsche;schwamm;hai;gondel;herd;radiergummi;kanu;parfum;kaffeemaschine;briefkasten;aal;kutsche;waage;schwamm;regal;schraubenzieher;Heimwerker;Werkzeug
tafel;biene;ameise;ameise;schwert;kirsche;gondel;schwamm;streichholz;mikrowelle;schlüssel;ventilator;hai;schachtel;auto;regal;kleiderschrank;schachtel;lineal;fernglas;schlüssel;schlüssel;mikrowelle;segelschiff;schwert;regal;fächer;luftballon;regal;goldfisch;bohrmaschine;Heimwerker;Werkzeug
apfel;kassette;banane;birne;spinne;würfel;bleistift;herd;segelschiff;zigarette;geschirrspüler;fächer;bus;rochen;delfin;goldfisch;kutsche;ventilator;kaffeemaschine;klammer;kanu;kühlschrank;kassette;ampel;schublade;auto;kleiderschrank;lkw;rochen;auto;feile;Heimwerker;Werkzeug
fliege;becher;flasche;glas;bürste;briefmarke;herd;schere;schere;gondel;bleistift;geschirrspüler;kleiderschrank;bus;schublade;ball;baby;auto;kanu;geschirrspüler;klammer;schere;gondel;mikrowelle;teppich;rochen;bus;spaghetti;bus;kleiderschrank;zange;Heimwerker;Werkzeug
teppich;fliege;biene;bürste;apfel;birne;spaghetti;segelschiff;kühlschrank;geschirrspüler;u-boot;zigarette;goldfisch;schlüssel;mikrofon;kleiderschrank;delfin;safe;klammer;bürste;steckdose;mikrofon;lineal;radiergummi;fernglas;safe;hai;aal;schachtel;rochen;hand;Körperteile;Misc I
birne;kopfkissen;apfel;apfel;ameise;kanne;kopfhörer;geschirrspüler;u-boot;klammer;kühlschrank;radiergummi;tafel;hai;kutsche;auto;auto;rochen;spaghetti;segelschiff;mikrowelle;gondel;kühlschrank;yacht;auto;luftballon;regal;auto;delfin;lkw;arm;Körperteile;Misc I
tasse;tasse;zigarette;fliege;tasse;schwamm;u-boot;steckdose;lineal;u-boot;briefmarke;mikrowelle;schachtel;schublade;aal;rochen;regal;kutsche;segelschiff;kühlschrank;lineal;radiergummi;yacht;geschirrspüler;hai;hai;parfum;tafel;auto;tafel;bein;Körperteile;Misc I
spinne;ameise;spinne;kanne;kirsche;banane;geschirrspüler;u-boot;kaffeemaschine;herd;gondel;spaghetti;aal;cd;fernglas;schublade;hai;regal;radiergummi;ventilator;segelschiff;schornstein;klammer;pfeife;pfeife;schachtel;rochen;delfin;safe;delfin;fuss;Körperteile;Misc I
trauben;trauben;kirsche;trauben;kamera;flasche;lineal;kaffeemaschine;yacht;lineal;kaffeemaschine;gondel;lkw;kutsche;motorrad;kamera;fenster;delfin;geschirrspüler;gondel;geschirrspüler;teppich;fernglas;kanu;safe;motorrad;schublade;kleiderschrank;aal;bus;ohr;Körperteile;Misc I
kopfhörer;flasche;steckdose;cd;glas;biene;yacht;mikrofon;waage;briefmarke;lineal;herd;mülleimer;safe;hai;aal;bus;waage;u-boot;kaffeemaschine;pinsel;herd;u-boot;würfel;motorrad;pinsel;pfeife;motorrad;bürste;safe;schwan;Vögel;Tiere
