array1;array2;array3;array4;array5;array6;array7;array8;array9;array10;array11;array12;array13;array14;array15;array16;array17;array18;array19;array20;array21;array22;array23;array24;array25;array26;array27;array28;array29;array30;item;categorie;supercategorie
lkw;schublade;rochen;goldfisch;briefkasten;delfin;tafel;kapuzenpulli;karotte;pelzmantel;sense;sakko;kamera;wuerfel;flasche;biene;fliege;flasche;brokkoli;kopfhoerer;lippenstift;brokkoli;daunenweste;karotte;schlagzeug;loewenzahn;geige;kuh;sonnenblume;tulpe;sakko;Jacken;Kleidung
regal;aal;streichholz;bus;regal;schachtel;kopfkissen;gurke;besen;paprika;pelzmantel;karotte;kirsche;flasche;fliege;tasse;flasche;biene;schaufel;karotte;daunenweste;daunenweste;karotte;schaufel;schaf;schaf;orchidee;gitarre;gitarre;harfe;pelzmantel;Jacken;Kleidung
hai;motorrad;schachtel;luftballon;kutsche;kutsche;arztkittel;axt;kapuzenpulli;axt;kartoffel;axt;becher;biene;trauben;schwert;kirsche;kirsche;pinsel;kapuzenpulli;kartoffel;pfeife;ball;schornstein;tulpe;kassette;kuh;rose;reh;kuh;kapuzenpulli;Jacken;Kleidung
motorrad;safe;goldfisch;aal;spaghetti;hai;gurke;arztkittel;kartoffel;arztkittel;schaufel;arztkittel;ameise;trauben;luftballon;ventilator;faecher;zigarette;karotte;axt;sense;gurke;axt;kaefig;fenster;orchidee;cd;pferd;streichholz;sonnenblume;arztkittel;Jacken;Kleidung
schublade;rochen;ampel;fenster;kleiderschrank;streichholz;streichholz;brokkoli;saege;gurke;kapuzenpulli;gurke;trauben;becher;biene;glas;kanne;glas;besen;gurke;kapuzenpulli;besen;kapuzenpulli;paprika;kuh;schlagzeug;rose;schlagzeug;orchidee;gitarre;daunenweste;Jacken;Kleidung
saege;kartoffel;tafel;sakko;parfum;schaufel;geige;loewenzahn;schaf;gitarre;reh;geige;brokkoli;kassette;paprika;arztkittel;gurke;pelzmantel;aal;safe;aal;aal;bus;schublade;eis;ohr;fuss;eis;hammer;zange;kartoffel;Gemuese;Lebensmittel
karotte;sense;kerze;axt;brokkoli;kapuzenpulli;muelleimer;pfeife;rose;luftballon;tulpe;kuh;kapuzenpulli;pelzmantel;pelzmantel;paprika;arztkittel;besen;luftballon;steckdose;kutsche;bus;regal;hai;zange;eis;zange;glocke;faecher;bonbon;paprika;Gemuese;Lebensmittel
daunenweste;daunenweste;schaufel;paprika;muelleimer;brokkoli;orchidee;schaf;klavier;muelleimer;kerze;cd;kassette;gurke;saege;schaufel;cd;tafel;kleiderschrank;rochen;tafel;baby;kaefig;cd;cd;bohrmaschine;teppich;ohr;bonbon;cd;gurke;Gemuese;Lebensmittel
glocke;brokkoli;kartoffel;kapuzenpulli;briefmarke;sense;kuh;geige;pferd;loewenzahn;harfe;schlagzeug;schaufel;saege;kartoffel;kaefig;karotte;brokkoli;goldfisch;schublade;delfin;schachtel;motorrad;bus;kuchen;briefkasten;eis;feile;feile;arm;brokkoli;Gemuese;Lebensmittel
brokkoli;schaufel;pelzmantel;sense;karotte;tafel;gitarre;buerste;kerze;geige;orchidee;orchidee;pfeife;kaefig;parfum;briefmarke;saege;kaefig;auto;motorrad;bus;kutsche;kleiderschrank;aal;bein;fuss;feile;kekse;arm;bohrmaschine;karotte;Gemuese;Lebensmittel
pelzmantel;sakko;kamera;gurke;pelzmantel;karotte;loewenzahn;schwert;gitarre;kuh;muelleimer;schwamm;paprika;brokkoli;axt;gurke;pelzmantel;arztkittel;schachtel;baby;schachtel;wuerfel;fenster;kleiderschrank;schraubenzieher;feile;bein;hand;eis;kekse;sense;Bauernhof;Werkzeug
schaufel;pfeife;gurke;arztkittel;saege;daunenweste;pferd;sonnenblume;pfeife;rose;schlagzeug;lippenstift;saege;kapuzenpulli;karotte;schwamm;kartoffel;kartoffel;muelleimer;delfin;goldfisch;schublade;rochen;kutsche;kaefig;pfeife;kuchen;bohrmaschine;zange;hand;axt;Bauernhof;Werkzeug
gurke;karotte;daunenweste;schaufel;zigarette;schluessel;harfe;klavier;orchidee;klavier;kamel;tulpe;arztkittel;mikrofon;daunenweste;puppe;besen;axt;motorrad;lkw;motorrad;motorrad;schublade;delfin;ohr;kekse;schraubenzieher;schokolade;fuss;schraubenzieher;schaufel;Bauernhof;Werkzeug
kaefig;pelzmantel;waage;kartoffel;tafel;gurke;tulpe;pferd;kuh;reh;ventilator;schaf;gurke;besen;teppich;kapuzenpulli;schornstein;schluessel;regal;regal;regal;rochen;pfeife;zigarette;feile;arm;arm;fuss;kekse;kuchen;besen;Bauernhof;Werkzeug
besen;schornstein;brokkoli;kamera;axt;sakko;kamel;briefkasten;puppe;orchidee;sonnenblume;buerste;besen;pinsel;sense;sense;sakko;karotte;delfin;ball;briefkasten;safe;goldfisch;motorrad;mikrofon;schraubenzieher;bonbon;hammer;pfeife;schwert;saege;Bauernhof;Werkzeug
kartoffel;saege;besen;briefmarke;sakko;cd;ampel;harfe;tulpe;schwamm;schaf;harfe;daunenweste;sakko;arztkittel;brille;sense;sakko;bus;goldfisch;lkw;cd;schachtel;regal;arm;bonbon;bohrmaschine;mikrofon;cd;feile;pferd;Huftiere;Tiere
kapuzenpulli;kaefig;arztkittel;saege;gurke;besen;sonnenblume;reh;harfe;faecher;geige;kamel;briefkasten;karotte;gurke;brokkoli;kopfhoerer;teppich;safe;schachtel;rochen;faecher;waage;puppe;kassette;hand;schwert;kuchen;schokolade;fuss;kuh;Huftiere;Tiere
kerze;gurke;karotte;karotte;besen;paprika;schluessel;tulpe;kamel;pferd;rose;mikrofon;sense;axt;besen;axt;paprika;gurke;zigarette;brille;safe;delfin;lkw;lkw;kekse;ventilator;schornstein;fenster;schraubenzieher;lippenstift;reh;Huftiere;Tiere
paprika;besen;saege;faecher;kapuzenpulli;kopfhoerer;klavier;gitarre;sonnenblume;tulpe;spaghetti;rose;briefmarke;arztkittel;spaghetti;sakko;schaufel;schaufel;kutsche;kutsche;briefmarke;lkw;aal;baby;hammer;ball;kekse;zange;hand;hammer;schaf;Huftiere;Tiere
sense;arztkittel;kapuzenpulli;steckdose;kartoffel;pelzmantel;kassette;tafel;geige;schlagzeug;klavier;pferd;kartoffel;kartoffel;brokkoli;kartoffel;pinsel;kapuzenpulli;rochen;kleiderschrank;hai;regal;faecher;schachtel;fuss;bein;ohr;arm;mikrofon;ohr;kamel;Huftiere;Tiere
sakko;parfum;paprika;daunenweste;schaufel;axt;pfeife;rose;fenster;schaf;kuh;klavier;pelzmantel;sense;sakko;besen;daunenweste;ball;wuerfel;hai;schublade;hai;auto;auto;schokolade;kuchen;luftballon;brille;kuchen;fenster;gitarre;Instrumente;Misc I
pinsel;axt;sense;brokkoli;daunenweste;kartoffel;schaf;kuh;reh;sonnenblume;loewenzahn;loewenzahn;axt;pfeife;schaufel;pelzmantel;brokkoli;sense;lkw;bus;auto;auto;delfin;goldfisch;bohrmaschine;hammer;hammer;bonbon;ohr;eis;klavier;Instrumente;Misc I
axt;paprika;kopfkissen;besen;paprika;arztkittel;schlagzeug;schlagzeug;schlagzeug;harfe;gitarre;reh;karotte;daunenweste;kerze;karotte;axt;daunenweste;schublade;spaghetti;schwamm;kaefig;safe;luftballon;hand;kamera;hand;bein;bohrmaschine;bein;schlagzeug;Instrumente;Misc I
arztkittel;kapuzenpulli;sakko;pelzmantel;sense;saege;rose;orchidee;luftballon;kamel;pferd;gitarre;sakko;schaufel;kapuzenpulli;saege;kapuzenpulli;paprika;tafel;aal;kopfkissen;goldfisch;kutsche;safe;zigarette;schokolade;muelleimer;schraubenzieher;ventilator;pfeife;geige;Instrumente;Misc I
pfeife;waage;axt;muelleimer;arztkittel;fernglas;reh;kamel;loewenzahn;teppich;ampel;sonnenblume;teppich;paprika;briefkasten;daunenweste;kamera;saege;hai;auto;kleiderschrank;kleiderschrank;hai;rochen;bonbon;zange;schokolade;schwert;bein;schokolade;harfe;Instrumente;Misc I
reh;tulpe;tulpe;kuh;schlagzeug;rose;wuerfel;loeffel;schneebesen;spaghetti;baby;loewe;ventilator;stuhl;stuhl;steckdose;kirche;schloss;ventilator;ohr;baby;arm;briefkasten;buerste;sessel;hochhaus;mikrofon;sessel;burg;schloss;rose;Blumen;Misc II
zigarette;pferd;fenster;streichholz;schwamm;badewanne;kette;spaghetti;panther;ohrring;loewe;messer;kopfhoerer;parfum;schwan;burg;ball;couch;arm;kekse;schraubenzieher;schokolade;schraubenzieher;bonbon;kopfkissen;hocker;ampel;kirche;luftballon;eule;loewenzahn;Blumen;Misc II
buerste;harfe;buerste;schlagzeug;tulpe;pferd;messer;armband;mikrofon;messer;kette;ohrring;strauss;ente;faecher;strauss;briefkasten;glocke;kamera;feile;schokolade;schraubenzieher;eis;hand;taube;taube;hocker;schornstein;taube;bank;sonnenblume;Blumen;Misc II
kamel;schwert;reh;lippenstift;schaf;orchidee;leopard;loewe;kelle;baer;pfeife;schornstein;couch;luftballon;briefmarke;bank;hocker;streichholz;bonbon;bein;bein;kopfkissen;bein;briefkasten;stuhl;tempel;ente;hocker;hochhaus;hochhaus;orchidee;Blumen;Misc II
rose;kamel;orchidee;kopfhoerer;ampel;geige;armband;gabel;loewe;kette;panther;tiger;faecher;ventilator;tempel;hochhaus;ente;sessel;zange;schokolade;bohrmaschine;bonbon;bohrmaschine;kuchen;puppe;stuhl;burg;hochhaus;couch;schwan;tulpe;Blumen;Misc II
gitarre;klavier;schluessel;reh;wuerfel;kamel;kelle;kette;ohrring;loeffel;parfum;kette;burg;kirche;streichholz;ente;lippenstift;kirche;badewanne;hammer;kuchen;hammer;schokolade;feile;hochhaus;schwan;stuhl;strauss;strauss;stuhl;schere;Buero;Werkzeug
pferd;loewenzahn;geige;ampel;pferd;loewenzahn;mikrofon;baer;messer;panther;gabel;schwert;hocker;strauss;ente;stuhl;burg;pfeife;eis;fuss;kopfhoerer;bein;fuss;ohr;glocke;kirche;strauss;bank;ball;kirche;bleistift;Buero;Werkzeug
sonnenblume;kerze;kamel;rose;geige;klavier;ring;schneebesen;tiger;ring;ohrring;kelle;eule;briefkasten;hocker;tempel;strauss;eule;feile;bonbon;fuss;kuchen;feile;kekse;eule;spaghetti;schloss;burg;sessel;luftballon;klammer;Buero;Werkzeug
geige;geige;briefkasten;klavier;pfeife;kuh;loeffel;ring;brosche;schneebesen;zigarette;armband;tempel;bank;kirche;schwan;parfum;luftballon;teppich;zange;kaefig;zange;bonbon;schraubenzieher;spaghetti;schwamm;briefmarke;schwan;schwan;hocker;lineal;Buero;Werkzeug
schwert;rose;parfum;kamel;rose;tulpe;baer;fenster;wuerfel;badewanne;loeffel;leopard;sessel;schwan;eule;parfum;sessel;burg;kekse;arm;kekse;kerze;ampel;kerze;wuerfel;burg;couch;couch;kirche;briefmarke;radiergummi;Buero;Werkzeug
kuh;schaf;gitarre;orchidee;harfe;muelleimer;brosche;kassette;baer;armband;brosche;kopfhoerer;spaghetti;burg;ball;kirche;schloss;ente;fuss;glocke;feile;ohr;arm;fuss;schloss;parfum;baby;schloss;teppich;strauss;u-boot;Wasser;Fortbewegungsmittel
ampel;mikrofon;pferd;harfe;kuh;schlagzeug;schneebesen;kelle;kopfhoerer;leopard;leopard;ring;ente;sessel;couch;couch;taube;hocker;bohrmaschine;kuchen;ampel;feile;badewanne;zange;bank;ente;tempel;wuerfel;ente;couch;gondel;Wasser;Fortbewegungsmittel
harfe;schlagzeug;loewenzahn;mikrofon;sonnenblume;reh;tiger;brosche;armband;gabel;schneebesen;schneebesen;bank;buerste;schloss;taube;stuhl;tempel;kuchen;bohrmaschine;ohr;waage;kuchen;ventilator;strauss;couch;schwan;eule;hocker;muelleimer;segelschiff;Wasser;Fortbewegungsmittel
tulpe;buerste;harfe;loewenzahn;ball;briefkasten;pinsel;panther;leopard;parfum;armband;baer;kirche;schloss;schwert;kopfkissen;hochhaus;schwan;bein;zigarette;zange;eis;hand;schokolade;burg;puppe;bank;tempel;zigarette;ente;kanu;Wasser;Fortbewegungsmittel
puppe;kuh;kuh;geige;gitarre;gitarre;schornstein;wuerfel;loeffel;loewe;kaefig;brosche;schwan;taube;strauss;sessel;mikrofon;stuhl;kopfhoerer;eis;eis;bohrmaschine;hammer;bohrmaschine;couch;eule;hochhaus;baby;muelleimer;fernglas;yacht;Wasser;Fortbewegungsmittel
schlagzeug;sonnenblume;rose;schaf;reh;spaghetti;panther;ohrring;kette;kelle;tiger;loeffel;stuhl;couch;bank;schloss;bank;schwamm;hammer;hand;hand;pinsel;pinsel;arm;schwan;sessel;badewanne;ente;stuhl;tempel;kuehlschrank;Kueche;Moebel
loewenzahn;gitarre;klavier;tulpe;loewenzahn;sonnenblume;ohrring;leopard;zigarette;kerze;kelle;glocke;hochhaus;hochhaus;hochhaus;kopfhoerer;eule;strauss;ohr;lippenstift;schwert;fuss;ohr;parfum;tempel;schloss;eule;stuhl;tempel;taube;herd;Kueche;Moebel
schaf;reh;schaf;gitarre;klavier;harfe;fenster;messer;gabel;tiger;ring;panther;taube;eule;taube;hocker;tempel;hochhaus;schokolade;mikrofon;bonbon;luftballon;zange;eis;hocker;strauss;kirche;briefkasten;eule;buerste;mikrowelle;Kueche;Moebel
klavier;orchidee;sonnenblume;pferd;kamel;kerze;loewe;cd;ring;brosche;baer;gabel;badewanne;hocker;sessel;kassette;couch;bank;schraubenzieher;schraubenzieher;arm;kekse;schwamm;bein;ente;bank;sessel;taube;bank;burg;kaffeemaschine;Kueche;Moebel
orchidee;luftballon;schlagzeug;sonnenblume;orchidee;schaf;gabel;tiger;cd;steckdose;messer;schluessel;schloss;tempel;burg;eule;schwan;taube;hand;streichholz;hammer;hand;kekse;hammer;kirche;zigarette;taube;kerze;schloss;sessel;geschirrspueler;Kueche;Moebel
mikrowelle;kanu;glocke;puppe;kopfhoerer;gondel;auto;kopfkissen;auto;kutsche;lkw;lkw;panther;leopard;zigarette;ring;leopard;fernglas;trauben;briefmarke;ball;marienkaefer;flasche;ameise;karotte;kopfkissen;besen;brokkoli;sakko;sense;fliege;Insekten;Tiere
segelschiff;faecher;geschirrspueler;schere;herd;mikrowelle;regal;safe;schublade;streichholz;regal;goldfisch;kelle;ring;brosche;loewe;luftballon;tiger;tasse;badewanne;becher;tasse;fliege;birne;lippenstift;paprika;fernglas;kassette;brokkoli;kartoffel;biene;Insekten;Tiere
mikrofon;herd;pfeife;kaffeemaschine;teppich;klammer;brille;puppe;aal;briefkasten;rochen;teppich;ohrring;gabel;leopard;glocke;messer;ohrring;faecher;ameise;ameise;lippenstift;birne;muelleimer;schaufel;fenster;paprika;schaufel;tafel;arztkittel;spinne;Insekten;Tiere
bleistift;u-boot;schere;kanu;lineal;u-boot;kutsche;kutsche;lkw;goldfisch;motorrad;regal;glocke;panther;schneebesen;kette;tiger;baby;ameise;glas;birne;fliege;kopfhoerer;fliege;luftballon;kopfhoerer;arztkittel;paprika;sense;waage;marienkaefer;Insekten;Tiere
u-boot;bleistift;kuehlschrank;tafel;mikrowelle;schornstein;waage;kamera;schachtel;kleiderschrank;schachtel;delfin;baer;teppich;ohrring;messer;ohrring;loewe;glas;kopfkissen;kanne;banane;kanne;kirsche;sakko;sakko;saege;kaefig;schornstein;axt;ameise;Insekten;Tiere
brille;kuehlschrank;gondel;lineal;kanu;geschirrspueler;hai;luftballon;schwamm;auto;aal;bus;armband;schneebesen;panther;badewanne;gabel;kelle;baby;banane;spinne;glas;trauben;tasse;axt;kartoffel;gurke;kapuzenpulli;briefmarke;pelzmantel;apfel;Obst;Lebensmittel
radiergummi;gondel;bleistift;u-boot;schere;bleistift;lkw;hai;hai;hai;kutsche;pfeife;kaefig;brosche;gabel;brosche;panther;ring;kirsche;marienkaefer;trauben;tafel;puppe;biene;kartoffel;besen;sakko;axt;pelzmantel;ampel;trauben;Obst;Lebensmittel
kanu;klammer;mikrowelle;kuehlschrank;schluessel;kaefig;cd;kleiderschrank;kleiderschrank;schublade;lippenstift;aal;leopard;loewe;tafel;schneebesen;kette;baer;fliege;kamera;tasse;apfel;glas;trauben;kapuzenpulli;arztkittel;ball;buerste;schluessel;karotte;birne;Obst;Lebensmittel
geschirrspueler;kaffeemaschine;yacht;schluessel;segelschiff;herd;aal;auto;kutsche;motorrad;schwamm;safe;kette;messer;tiger;tiger;kelle;messer;streichholz;birne;fliege;becher;tafel;schluessel;sense;badewanne;brokkoli;arztkittel;puppe;sakko;banane;Obst;Lebensmittel
schornstein;yacht;puppe;yacht;radiergummi;radiergummi;schachtel;delfin;goldfisch;aal;auto;kamera;messer;ohrring;messer;faecher;loewe;schwert;birne;kanne;kerze;puppe;apfel;marienkaefer;gurke;sense;kapuzenpulli;besen;besen;besen;kirsche;Obst;Lebensmittel
lineal;wuerfel;kaffeemaschine;geschirrspueler;geschirrspueler;kanu;bus;pinsel;regal;schwert;hai;hai;streichholz;baer;ampel;loeffel;kerze;kette;marienkaefer;schluessel;apfel;biene;spinne;kanne;pinsel;kapuzenpulli;brille;karotte;gurke;gurke;glas;Trinkgefaesse;Misc II
kuehlschrank;schere;badewanne;klammer;streichholz;kuehlschrank;puppe;lkw;glocke;pinsel;safe;schublade;brosche;loeffel;ring;panther;armband;loeffel;becher;biene;biene;briefkasten;tasse;kopfkissen;arztkittel;karotte;sense;sakko;daunenweste;badewanne;flasche;Trinkgefaesse;Misc II
baby;mikrowelle;kanu;segelschiff;yacht;puppe;delfin;schublade;kassette;delfin;teppich;motorrad;loeffel;schwamm;loeffel;briefkasten;schluessel;briefkasten;banane;trauben;flasche;birne;kirsche;spinne;ball;schaufel;daunenweste;streichholz;axt;daunenweste;tasse;Trinkgefaesse;Misc II
schere;steckdose;klammer;schornstein;kaffeemaschine;brille;schublade;aal;safe;safe;goldfisch;rochen;tiger;tafel;schluessel;kelle;waage;panther;spinne;tasse;banane;spinne;biene;becher;besen;daunenweste;fenster;gurke;kartoffel;saege;becher;Trinkgefaesse;Misc II
kaffeemaschine;segelschiff;ventilator;radiergummi;waage;lineal;faecher;bus;kaefig;lkw;kleiderschrank;parfum;kerze;kelle;kopfkissen;leopard;ring;brosche;flasche;spinne;schornstein;flasche;teppich;apfel;pelzmantel;brokkoli;kartoffel;saege;kapuzenpulli;glocke;kanne;Trinkgefaesse;Misc II
gondel;radiergummi;u-boot;mikrowelle;u-boot;yacht;rochen;regal;delfin;rochen;kamera;kutsche;gabel;glocke;loewe;armband;loeffel;gabel;apfel;apfel;kassette;trauben;becher;streichholz;paprika;axt;waage;daunenweste;schaufel;mikrofon;eis;Suessigkeiten;Lebensmittel
briefmarke;briefkasten;radiergummi;ball;bleistift;kaffeemaschine;safe;rochen;bus;regal;delfin;schachtel;loewe;kette;kette;wuerfel;baer;kopfkissen;ampel;becher;kirsche;ameise;marienkaefer;flasche;baby;pelzmantel;axt;kartoffel;karotte;brokkoli;kuchen;Suessigkeiten;Lebensmittel
herd;geschirrspueler;herd;bleistift;kuehlschrank;schere;motorrad;motorrad;ampel;bus;schublade;wuerfel;ring;tiger;kelle;baer;brosche;armband;biene;fliege;marienkaefer;kanne;schwert;lippenstift;saege;kerze;karotte;sense;arztkittel;schaufel;schokolade;Suessigkeiten;Lebensmittel
yacht;lineal;segelschiff;herd;gondel;segelschiff;goldfisch;schachtel;rochen;fernglas;bus;auto;schneebesen;brille;baer;gabel;badewanne;schneebesen;kanne;kirsche;glas;kirsche;banane;banane;brokkoli;gurke;pelzmantel;pelzmantel;saege;kapuzenpulli;kekse;Suessigkeiten;Lebensmittel
klammer;briefmarke;lineal;gondel;klammer;pfeife;kleiderschrank;goldfisch;motorrad;schachtel;badewanne;kleiderschrank;luftballon;armband;armband;ohrring;schneebesen;leopard;kaefig;flasche;kamera;fenster;ameise;glas;daunenweste;saege;schaufel;kamera;paprika;paprika;bonbon;Suessigkeiten;Lebensmittel
becher;fernglas;kanne;briefkasten;biene;becher;schere;kuehlschrank;kanu;kanu;kanu;yacht;kutsche;goldfisch;rochen;delfin;motorrad;motorrad;kuehlschrank;lineal;u-boot;zigarette;steckdose;klammer;delfin;faecher;schwamm;schublade;kutsche;kutsche;hammer;Heimwerker;Werkzeug
ameise;birne;ball;flasche;banane;spinne;kaffeemaschine;bleistift;radiergummi;waage;klammer;bleistift;safe;motorrad;kleiderschrank;kutsche;schwamm;hai;gondel;herd;radiergummi;kanu;parfum;kaffeemaschine;briefkasten;aal;kutsche;waage;schwamm;regal;schraubenzieher;Heimwerker;Werkzeug
tafel;biene;ameise;ameise;schwert;kirsche;gondel;schwamm;streichholz;mikrowelle;schluessel;ventilator;hai;schachtel;auto;regal;kleiderschrank;schachtel;lineal;fernglas;schluessel;schluessel;mikrowelle;segelschiff;schwert;regal;faecher;luftballon;regal;goldfisch;bohrmaschine;Heimwerker;Werkzeug
apfel;kassette;banane;birne;spinne;wuerfel;bleistift;herd;segelschiff;zigarette;geschirrspueler;faecher;bus;rochen;delfin;goldfisch;kutsche;ventilator;kaffeemaschine;klammer;kanu;kuehlschrank;kassette;ampel;schublade;auto;kleiderschrank;lkw;rochen;auto;feile;Heimwerker;Werkzeug
fliege;becher;flasche;glas;buerste;briefmarke;herd;schere;schere;gondel;bleistift;geschirrspueler;kleiderschrank;bus;schublade;ball;baby;auto;kanu;geschirrspueler;klammer;schere;gondel;mikrowelle;teppich;rochen;bus;spaghetti;bus;kleiderschrank;zange;Heimwerker;Werkzeug
teppich;fliege;biene;buerste;apfel;birne;spaghetti;segelschiff;kuehlschrank;geschirrspueler;u-boot;zigarette;goldfisch;schluessel;mikrofon;kleiderschrank;delfin;safe;klammer;buerste;steckdose;mikrofon;lineal;radiergummi;fernglas;safe;hai;aal;schachtel;rochen;hand;Koerperteile;Misc I
birne;kopfkissen;apfel;apfel;ameise;kanne;kopfhoerer;geschirrspueler;u-boot;klammer;kuehlschrank;radiergummi;tafel;hai;kutsche;auto;auto;rochen;spaghetti;segelschiff;mikrowelle;gondel;kuehlschrank;yacht;auto;luftballon;regal;auto;delfin;lkw;arm;Koerperteile;Misc I
tasse;tasse;zigarette;fliege;tasse;schwamm;u-boot;steckdose;lineal;u-boot;briefmarke;mikrowelle;schachtel;schublade;aal;rochen;regal;kutsche;segelschiff;kuehlschrank;lineal;radiergummi;yacht;geschirrspueler;hai;hai;parfum;tafel;auto;tafel;bein;Koerperteile;Misc I
spinne;ameise;spinne;kanne;kirsche;banane;geschirrspueler;u-boot;kaffeemaschine;herd;gondel;spaghetti;aal;cd;fernglas;schublade;hai;regal;radiergummi;ventilator;segelschiff;schornstein;klammer;pfeife;pfeife;schachtel;rochen;delfin;safe;delfin;fuss;Koerperteile;Misc I
trauben;trauben;kirsche;trauben;kamera;flasche;lineal;kaffeemaschine;yacht;lineal;kaffeemaschine;gondel;lkw;kutsche;motorrad;kamera;fenster;delfin;geschirrspueler;gondel;geschirrspueler;teppich;fernglas;kanu;safe;motorrad;schublade;kleiderschrank;aal;bus;ohr;Koerperteile;Misc I
