"","subject","trial","item","category","supercategory","PosOr","answercode","correct","correct_manual","answer_auto_jaro","correct_auto_jaro","word","word.c","letters.01","timing.01"
"17",1,17,"schaufel","Bauernhof","Werkzeug",5,"correct","1",1,"correct",1,"SCHAUFELEnter","SCHAUFEL","S",799
"18",1,18,"schornstein","Filler","Filler",4,"correct","1",1,"correct",1,"SCHORNSTEINEnter","SCHORNSTEIN","S",847
"19",1,19,"käfig","Filler","Filler",5,"correct","1",1,"correct",1,"KÄFIGEnter","KÄFIG","K",1226
"20",1,20,"paprika","Gemüse","Lebensmittel",5,"almostcorrect","1",1,"correctedtocorrect",1,"PAPRIKEBackspaceAEnter","PAPRIKA","P",1044
"21",1,21,"schublade","Aufbewahrung","Möbel",1,"correct","1",1,"correct",1,"SCHUBLADEEnter","SCHUBLADE","S",772
"22",1,22,"hai","Fische","Tiere",1,"correct","1",1,"correct",1,"HAIEnter","HAI","H",1035
"23",1,23,"cd","Filler","Filler",1,"correct","1",1,"correct",1,"CDEnter","CD","C",1186
"24",1,24,"bus","Strasse","Fortbewegungsmittel",1,"correct","1",1,"correct",1,"BUSEnter","BUS","B",951
"25",1,25,"aal","Fische","Tiere",2,"correct","1",1,"correct",1,"AALEnter","AAL","A",799
"26",1,26,"kleiderschrank","Aufbewahrung","Möbel",2,"isna","NA",0,"isna",0,"NA","NA","S",1399
"27",1,27,"kutsche","Strasse","Fortbewegungsmittel",2,"unrelated_other","NA",0,"first_letter_error",0,"HARANBackspaceBackspaceBackspaceBackspaceBackspaceKUSCHEEnter","KUSCHE","H",NA
"28",1,28,"delfin","Fische","Tiere",3,"correct","1",1,"correct",1,"DELFINEnter","DELFIN","D",1181
"29",1,29,"zigarette","Filler","Filler",2,"correct","1",1,"correct",1,"ZIGARETTEEnter","ZIGARETTE","Z",1267
"30",1,30,"motorrad","Strasse","Fortbewegungsmittel",3,"correct","1",1,"correct",1,"MOTORRADEnter","MOTORRAD","M",1054
"31",1,31,"regal","Aufbewahrung","Möbel",3,"correct","1",1,"correct",1,"REGALEnter","REGAL","R",1046
"32",1,32,"puppe","Filler","Filler",3,"correct","1",1,"correct",1,"PUPPEEnter","PUPPE","P",1174
"33",1,33,"lkw","Strasse","Fortbewegungsmittel",4,"correct","1",1,"correct",1,"LKWEnter","LKW","L",2443
"34",1,34,"baby","Filler","Filler",4,"correct","1",1,"correct",1,"BABYEnter","BABY","B",1392
"35",1,35,"schachtel","Aufbewahrung","Möbel",4,"correct","1",1,"correct",1,"SCHACHTELEnter","SCHACHTEL","S",1607
"36",1,36,"auto","Strasse","Fortbewegungsmittel",5,"correct","1",1,"correct",1,"AUTOEnter","AUTO","A",1583
"37",1,37,"goldfisch","Fische","Tiere",4,"correct","1",1,"correct",1,"GOLDFISCHEnter","GOLDFISCH","G",1083
"38",1,38,"luftballon","Filler","Filler",5,"correct","1",1,"correct",1,"LUFTBALLONEnter","LUFTBALLON","L",1166
"39",1,39,"safe","Aufbewahrung","Möbel",5,"correct","1",1,"correct",1,"SAFEEnter","SAFE","S",983
"40",1,40,"rochen","Fische","Tiere",5,"correct","1",1,"correct",1,"ROCHENEnter","ROCHEN","R",1207
"41",1,41,"bürste","Filler","Filler",1,"correct","1",1,"correct",1,"BÜRSTEEnter","BÜRSTE","B",1611
"42",1,42,"bonbon","Süssigkeiten","Lebensmittel",1,"almostcorrect","1",1,"correctedtocorrect",1,"BOBBackspaceNBONEnter","BONBON","B",868
"43",1,43,"hand","Körperteile","Misc I",1,"correct","1",1,"correct",1,"HANDEnter","HAND","H",864
"44",1,44,"briefkasten","Filler","Filler",2,"correct","1",1,"correct",1,"BRIEFKASTENEnter","BRIEFKASTEN","B",1362
"45",1,45,"kuchen","Süssigkeiten","Lebensmittel",2,"almostcorrect","1",1,"alternative_corrected",1,"TORTEEnter","TORTE","T",1579
"46",1,46,"feile","Heimwerker","Werkzeug",1,"correct","1",1,"correct",1,"FEILEEnter","FEILE","F",964
"47",1,47,"ohr","Körperteile","Misc I",2,"correct","1",1,"correct",1,"OHREnter","OHR","O",935
"48",1,48,"kekse","Süssigkeiten","Lebensmittel",3,"almostcorrect","1",1,"correctedtocorrect",1,"KESBackspaceLSEBackspaceBackspaceBackspaceKSEEnter","KEKSE","K",1033
"49",1,49,"schraubenzieher","Heimwerker","Werkzeug",2,"correct","1",1,"correct",1,"SCHRAUBENZIEHEREnter","SCHRAUBENZIEHER","S",1155
"50",1,50,"kerze","Filler","Filler",3,"correct","1",1,"correct",1,"KERZEEnter","KERZE","K",1223
"51",1,51,"fuss","Körperteile","Misc I",3,"correct","1",1,"correct",1,"FUSSEnter","FUSS","F",1293
"52",1,52,"zange","Heimwerker","Werkzeug",3,"almostcorrect","1",1,"correctedtocorrect",1,"ZAGEBackspaceBackspaceGBackspaceNGEEnter","ZANGE","Z",967
"53",1,53,"ventilator","Filler","Filler",4,"correct","1",1,"correct",1,"VENTILATOREnter","VENTILATOR","V",1113
"54",1,54,"schokolade","Süssigkeiten","Lebensmittel",4,"correct","1",1,"correct",1,"SCHOKOLADEEnter","SCHOKOLADE","S",824
"55",1,55,"bohrmaschine","Heimwerker","Werkzeug",4,"almostcorrect","1",1,"alternative_corrected",1,"BOHREREnter","BOHRER","B",2795
"56",1,56,"arm","Körperteile","Misc I",4,"correct","1",1,"correct",1,"ARMEnter","ARM","A",814
"57",1,57,"parfum","Filler","Filler",5,"almostcorrect","1",1,"correctedtocorrect",1,"PARFIBackspaceUMEnter","PARFUM","P",1297
"58",1,58,"eis","Süssigkeiten","Lebensmittel",5,"correct","1",1,"correct",1,"EISEnter","EIS","E",1041
"59",1,59,"bein","Körperteile","Misc I",5,"correct","1",1,"correct",1,"BEINEnter","BEIN","B",1825
"60",1,60,"hammer","Heimwerker","Werkzeug",5,"correct","1",1,"correct",1,"HAMMEREnter","HAMMER","H",1380
"61",1,61,"ameise","Insekten","Tiere",1,"correct","1",1,"correct",1,"AMEISEEnter","AMEISE","A",869
"62",1,62,"birne","Obst","Lebensmittel",1,"correct","1",1,"correct",1,"BIRNEEnter","BIRNE","B",901
"63",1,63,"mülleimer","Filler","Filler",1,"correct","1",1,"correct",1,"MÜLLEIMEREnter","MÜLLEIMER","M",1128
"64",1,64,"fliege","Insekten","Tiere",2,"correct","1",1,"correct",1,"FLIEGEEnter","FLIEGE","F",1429
"65",1,65,"kirsche","Obst","Lebensmittel",2,"correct","1",1,"correct",1,"KIRSCHEEnter","KIRSCHE","K",1182
"66",1,66,"tasse","Trinkgefässe","Misc II",1,"correct","1",1,"correct",1,"TASSEEnter","TASSE","T",1375
"67",1,67,"biene","Insekten","Tiere",3,"correct","1",1,"correct",1,"BIENEEnter","BIENE","B",1375
"68",1,68,"trauben","Obst","Lebensmittel",3,"correct","1",1,"correct",1,"TRAUBENEnter","TRAUBEN","T",1256
"69",1,69,"schlüssel","Filler","Filler",2,"almostcorrect","1",1,"approx_correct",1,"SCHHLÜSSEKEnter","SCHHLÜSSEK","S",839
"70",1,70,"marienkäfer","Insekten","Tiere",4,"almostcorrect","1",1,"correctedtocorrect",1,"MAIBackspaceREBackspaceIENKÄFEREnterEnter","MARIENKÄFER","M",1209
"71",1,71,"kanne","Trinkgefässe","Misc II",2,"almostcorrect","1",1,"alternative_corrected",1,"TEEKANNEEnter","TEEKANNE","T",1296
"72",1,72,"kopfkissen","Filler","Filler",3,"almostcorrect","1",1,"alternative_corrected",1,"KISSENEnter","KISSEN","K",896
"73",1,73,"spinne","Insekten","Tiere",5,"correct","1",1,"correct",1,"SPINNEEnter","SPINNE","S",1143
"74",1,74,"becher","Trinkgefässe","Misc II",3,"correct","1",1,"correct",1,"BECHEREnter","BECHER","B",1295
"75",1,75,"apfel","Obst","Lebensmittel",4,"correct","1",1,"correct",1,"APFELEnter","APFEL","A",983
"76",1,76,"streichholz","Filler","Filler",4,"correct","1",1,"correct",1,"STREICHHOLZEnter","STREICHHOLZ","S",845
"77",1,77,"flasche","Trinkgefässe","Misc II",4,"correct","1",1,"correct",1,"FLASCHEEnter","FLASCHE","F",1337
"78",1,78,"lippenstift","Filler","Filler",5,"almostcorrect","1",1,"correctedtocorrect",1,"LIPPENSTIGBackspaceFTEnter","LIPPENSTIFT","L",986
"79",1,79,"banane","Obst","Lebensmittel",5,"correct","1",1,"correct",1,"BANANEEnter","BANANE","B",928
"80",1,80,"glas","Trinkgefässe","Misc II",5,"correct","1",1,"correct",1,"GLASEnter","GLAS","G",1259
"81",1,81,"klammer","Büro","Werkzeug",1,"almostcorrect","1",1,"alternative_corrected",1,"BÜROKLAMMEREnter","BÜROKLAMMER","B",1178
"82",1,82,"kaffeemaschine","Küche","Möbel",1,"correct","1",1,"correct",1,"KAFFEEMASCHINEEnter","KAFFEEMASCHINE","K",1555
"83",1,83,"segelschiff","Wasser","Fortbewegungsmittel",1,"correct","1",1,"correct",1,"SEGELSCHIFFEnter","SEGELSCHIFF","S",931
"84",1,84,"ampel","Filler","Filler",1,"correct","1",1,"correct",1,"AMPELEnter","AMPEL","A",799
"85",1,85,"mikrowelle","Küche","Möbel",2,"correct","1",1,"correct",1,"MIKROWELLEEnter","MIKROWELLE","M",976
"86",1,86,"radiergummi","Büro","Werkzeug",2,"correct","1",1,"correct",1,"RADIERGUMMIEnter","RADIERGUMMI","R",1024
"87",1,87,"yacht","Wasser","Fortbewegungsmittel",2,"correct","1",1,"correct",1,"YACHTEnter","YACHT","Y",1311
"88",1,88,"geschirrspüler","Küche","Möbel",3,"isna","NA",0,"isna",0,"NA","NA","G",2569
"89",1,89,"pfeife","Filler","Filler",2,"first_letter_incorrect","NA",0,"first_letter_error",0,"SBackspacePFEIFEEnter","PFEIFE","S",NA
"90",1,90,"kanu","Wasser","Fortbewegungsmittel",3,"almostcorrect","1",1,"alternative_corrected",1,"BOOTEnter","BOOT","B",1175
"91",1,91,"würfel","Filler","Filler",3,"correct","1",1,"correct",1,"WÜRFELEnter","WÜRFEL","W",1060
"92",1,92,"badewanne","Filler","Filler",4,"correct","1",1,"correct",1,"BADEWANNEEnter","BADEWANNE","B",1075
"93",1,93,"u-boot","Wasser","Fortbewegungsmittel",4,"correct","1",1,"correct",1,"U-BOOTEnter","U-BOOT","U",1395
"94",1,94,"schere","Büro","Werkzeug",3,"correct","1",1,"correct",1,"SCHEREEnter","SCHERE","S",1048
"95",1,95,"herd","Küche","Möbel",4,"correct","1",1,"correct",1,"HERDEnter","HERD","H",1332
"96",1,96,"gondel","Wasser","Fortbewegungsmittel",5,"almostcorrect","1",1,"alternative_corrected",1,"BOOTEnter","BOOT","B",2482
"97",1,97,"bleistift","Büro","Werkzeug",4,"correct","1",1,"correct",1,"BLEISTIFTEnter","BLEISTIFT","B",876
"98",1,98,"kühlschrank","Küche","Möbel",5,"correct","1",1,"correct",1,"KÜHLSCHRANKEnter","KÜHLSCHRANK","K",1771
"99",1,99,"steckdose","Filler","Filler",5,"correct","1",1,"correct",1,"STECKDOSEEnter","STECKDOSE","S",1720
"100",1,100,"lineal","Büro","Werkzeug",5,"correct","1",1,"correct",1,"LINEALEnter","LINEAL","L",955
"101",1,101,"fernglas","Filler","Filler",1,"correct","1",1,"correct",1,"FERNGLASEnter","FERNGLAS","F",1165
"102",1,102,"gitarre","Instrumente","Misc I",1,"correct","1",1,"correct",1,"GITARREEnter","GITARRE","G",1217
"103",1,103,"kamel","Huftiere","Tiere",1,"almostcorrect","1",1,"correctedtocorrect",1,"KAEBackspaceMELEnter","KAMEL","K",916
"104",1,104,"sonnenblume","Blumen","Misc II",1,"correct","1",1,"correct",1,"SONNENBLUMEEnter","SONNENBLUME","S",1330
"105",1,105,"harfe","Instrumente","Misc I",2,"correct","1",1,"correct",1,"HARFEEnter","HARFE","H",966
"106",1,106,"reh","Huftiere","Tiere",2,"correct","1",1,"correct",1,"REHEnter","REH","R",1527
"107",1,107,"löwenzahn","Blumen","Misc II",2,"correct","1",1,"correct",1,"LÖWENZAHNEnter","LÖWENZAHN","L",1772
"108",1,108,"geige","Instrumente","Misc I",3,"correct","1",1,"correct",1,"GEIGEEnter","GEIGE","G",1491
"109",1,109,"schaf","Huftiere","Tiere",3,"correct","1",1,"correct",1,"SCHAFEnter","SCHAF","S",1007
"110",1,110,"kopfhörer","Filler","Filler",2,"correct","1",1,"correct",1,"KOPFHÖREREnter","KOPFHÖRER","K",999
"111",1,111,"brille","Filler","Filler",3,"correct","1",1,"correct",1,"BRILLEEnter","BRILLE","B",1225
"112",1,112,"kuh","Huftiere","Tiere",4,"correct","1",1,"correct",1,"KUHEnter","KUH","K",994
"113",1,113,"tulpe","Blumen","Misc II",3,"correct","1",1,"correct",1,"TULPEEnter","TULPE","T",1255
"114",1,114,"teppich","Filler","Filler",4,"correct","1",1,"correct",1,"TEPPICHEnter","TEPPICH","T",992
"115",1,115,"schlagzeug","Instrumente","Misc I",4,"correct","1",1,"correct",1,"SCHLAGZEUGEnter","SCHLAGZEUG","S",1290
"116",1,116,"rose","Blumen","Misc II",4,"correct","1",1,"correct",1,"ROSEEnter","ROSE","R",1395
"117",1,117,"pferd","Huftiere","Tiere",5,"correct","1",1,"correct",1,"PFERDEnter","PFERD","P",1072
"118",1,118,"klavier","Instrumente","Misc I",5,"correct","1",1,"correct",1,"KLAVIEREnter","KLAVIER","K",1198
"119",1,119,"orchidee","Blumen","Misc II",5,"correct","1",1,"correct",1,"ORCHIDEEEnter","ORCHIDEE","O",2456
"120",1,120,"schwamm","Filler","Filler",5,"correct","1",1,"correct",1,"SCHWAMMEnter","SCHWAMM","S",822
"121",1,121,"leopard","Raubtiere","Tiere",1,"correct","1",1,"correct",1,"LEOPARDEnter","LEOPARD","L",912
"122",1,122,"kette","Schmuck","Kleidung",1,"correct","1",1,"correct",1,"KETTEEnter","KETTE","K",1276
"123",1,123,"schneebesen","Kochen","Werkzeug",1,"correct","1",1,"correct",1,"SCHNEEBESENEnter","SCHNEEBESEN","S",1405
"124",1,124,"tiger","Raubtiere","Tiere",2,"almostcorrect","1",1,"approx_correct",1,"TIFEREnter","TIFER","T",1536
"125",1,125,"ring","Schmuck","Kleidung",2,"correct","1",1,"correct",1,"RINGEnter","RING","R",884
"126",1,126,"kamera","Filler","Filler",1,"correct","1",1,"correct",1,"KAMERAEnter","KAMERA","K",1312
"127",1,127,"spaghetti","Filler","Filler",2,"correct","1",1,"correct",1,"SPAGHETTIEnter","SPAGHETTI","S",1052
"128",1,128,"brosche","Schmuck","Kleidung",3,"almostcorrect","1",1,"correctedtocorrect",1,"BROSSCHBackspaceBackspaceBackspaceCHEEnter","BROSCHE","B",1388
"129",1,129,"messer","Kochen","Werkzeug",2,"correct","1",1,"correct",1,"MESSEREnter","MESSER","M",1293
"130",1,130,"fächer","Filler","Filler",3,"correct","1",1,"correct",1,"FÄCHEREnter","FÄCHER","F",1132
"131",1,131,"bär","Raubtiere","Tiere",3,"correct","1",1,"correct",1,"BÄREnter","BÄR","B",1083
"132",1,132,"gabel","Kochen","Werkzeug",3,"correct","1",1,"correct",1,"GABELEnter","GABEL","G",1614
"133",1,133,"ohrring","Schmuck","Kleidung",4,"correct","1",1,"correct",1,"OHRRINGEnter","OHRRING","O",1610
"134",1,134,"kassette","Filler","Filler",4,"correct","1",1,"correct",1,"KASSETTEEnter","KASSETTE","K",1026
"135",1,135,"kelle","Kochen","Werkzeug",4,"correct","1",1,"correct",1,"KELLEEnter","KELLE","K",1580
"136",1,136,"löwe","Raubtiere","Tiere",4,"correct","1",1,"correct",1,"LÖWEEnter","LÖWE","L",921
"137",1,137,"fenster","Filler","Filler",5,"correct","1",1,"correct",1,"FENSTEREnter","FENSTER","F",1431
"138",1,138,"löffel","Kochen","Werkzeug",5,"correct","1",1,"correct",1,"LÖFFELEnter","LÖFFEL","L",1695
"139",1,139,"armband","Schmuck","Kleidung",5,"correct","1",1,"correct",1,"ARMBANDEnter","ARMBAND","A",2805
"140",1,140,"panther","Raubtiere","Tiere",5,"correct","1",1,"correct",1,"PANTHEREnter","PANTHER","P",2422
"141",1,141,"strauss","Vögel","Tiere",1,"almostcorrect","1",1,"correctedtocorrect",1,"STRATBackspaceUSSEnter","STRAUSS","S",1161
"142",1,142,"hochhaus","Gebäude","Misc II",1,"correct","1",1,"correct",1,"HOCHHAUSEnter","HOCHHAUS","H",1338
"143",1,143,"briefmarke","Filler","Filler",1,"correct","1",1,"correct",1,"BRIEFMARKEEnter","BRIEFMARKE","B",1125
"144",1,144,"pinsel","Filler","Filler",2,"correct","1",1,"correct",1,"PINSELEnter","PINSEL","P",1163
"145",1,145,"sessel","Sitzen","Möbel",1,"correct","1",1,"correct",1,"SESSELEnter","SESSEL","S",1624
"146",1,146,"eule","Vögel","Tiere",2,"correct","1",1,"correct",1,"EULEEnter","EULE","E",1840
"147",1,147,"kirche","Gebäude","Misc II",2,"almostcorrect","1",1,"correctedtocorrect",1,"KIRSCHEBackspaceBackspaceBackspaceBackspaceCHEEnter","KIRCHE","K",1170
"148",1,148,"stuhl","Sitzen","Möbel",2,"correct","1",1,"correct",1,"STUHLEnter","STUHL","S",775
"149",1,149,"schwan","Vögel","Tiere",3,"first_letter_incorrect","NA",0,"first_letter_error",0,"WBackspaceSCHWANEnter","SCHWAN","W",1117
"150",1,150,"burg","Gebäude","Misc II",3,"correct","1",1,"correct",1,"BURGEnter","BURG","B",1180
"151",1,151,"couch","Sitzen","Möbel",3,"almostcorrect","1",1,"alternative_corrected",1,"SOFAEnter","SOFA","S",1169
"152",1,152,"glocke","Filler","Filler",3,"correct","1",1,"correct",1,"GLOCKEEnter","GLOCKE","G",1666
"153",1,153,"waage","Filler","Filler",4,"correct","1",1,"correct",1,"WAAGEEnter","WAAGE","W",967
"154",1,154,"schloss","Gebäude","Misc II",4,"correct","1",1,"correct",1,"SCHLOSSEnter","SCHLOSS","S",1769
"155",1,155,"ente","Vögel","Tiere",4,"correct","1",1,"correct",1,"ENTEEnter","ENTE","E",1125
"156",1,156,"hocker","Sitzen","Möbel",4,"correct","1",1,"correct",1,"HOCKEREnter","HOCKER","H",1301
"157",1,157,"tempel","Gebäude","Misc II",5,"correct","1",1,"correct",1,"TEMPELEnter","TEMPEL","T",1448
"158",1,158,"taube","Vögel","Tiere",5,"correct","1",1,"correct",1,"TAUBEEnter","TAUBE","T",1603
"159",1,159,"bank","Sitzen","Möbel",5,"correct","1",1,"correct",1,"BANKEnter","BANK","B",1181
"160",1,160,"schwert","Filler","Filler",5,"almostcorrect","1",1,"correctedtocorrect",1,"SCHWARTBackspaceBackspaceBackspaceERTEnter","SCHWERT","S",1073
"161",2,1,"pelzmantel","Jacken","Kleidung",1,"correct","1",1,"correct",1,"PELZMANTELEnter","PELZMANTEL","P",1080
"162",2,2,"paprika","Gemüse","Lebensmittel",1,"correct","1",1,"correct",1,"PAPRIKAEnter","PAPRIKA","P",915
"163",2,3,"schaufel","Bauernhof","Werkzeug",1,"correct","1",1,"correct",1,"SCHAUFELEnter","SCHAUFEL","S",783
"164",2,4,"sakko","Jacken","Kleidung",2,"correct","1",1,"correct",1,"SAKKOEnter","SAKKO","S",1870
"165",2,5,"kartoffel","Gemüse","Lebensmittel",2,"almostcorrect","1",1,"correctedtocorrect",1,"KARTOLBackspaceFFELEnter","KARTOFFEL","K",938
"166",2,6,"besen","Bauernhof","Werkzeug",2,"correct","1",1,"correct",1,"BESENEnter","BESEN","B",857
"167",2,7,"steckdose","Filler","Filler",1,"almostcorrect","1",1,"correctedtocorrect",1,"SCBackspaceTECKDOSEEnter","STECKDOSE","S",705
"168",2,8,"kapuzenpulli","Jacken","Kleidung",3,"correct","1",1,"correct",1,"KAPUZENPULLIEnter","KAPUZENPULLI","K",1227
"169",2,9,"säge","Bauernhof","Werkzeug",3,"correct","1",1,"correct",1,"SÄGEEnter","SÄGE","S",881
"170",2,10,"karotte","Gemüse","Lebensmittel",3,"correct","1",1,"correct",1,"KAROTTEEnter","KAROTTE","K",772
"171",2,11,"kamera","Filler","Filler",2,"isna","NA",0,"isna",0,"NA","NA","F",3067
"172",2,12,"axt","Bauernhof","Werkzeug",4,"first_letter_incorrect","NA",0,"first_letter_error",0,"TBackspaceAXREnter","AXR","T",NA
"173",2,13,"daunenweste","Jacken","Kleidung",4,"correct","1",1,"correct",1,"DAUNENWESTEEnter","DAUNENWESTE","D",963
"174",2,14,"brokkoli","Gemüse","Lebensmittel",4,"correct","1",1,"correct",1,"BROKKOLIEnter","BROKKOLI","B",915
"175",2,15,"sense","Bauernhof","Werkzeug",5,"correct","1",1,"correct",1,"SENSEEnter","SENSE","S",752
"176",2,16,"tafel","Filler","Filler",3,"correct","1",1,"correct",1,"TAFELEnter","TAFEL","T",959
"177",2,17,"kopfkissen","Filler","Filler",4,"almostcorrect","1",1,"alternative_corrected",1,"KABackspaceISSENEnter","KISSEN","K",957
"178",2,18,"arztkittel","Jacken","Kleidung",5,"correct","1",1,"correct",1,"ARZTKITTELEnter","ARZTKITTEL","A",1846
"179",2,19,"gurke","Gemüse","Lebensmittel",5,"correct","1",1,"correct",1,"GURKEEnter","GURKE","G",967
"180",2,20,"streichholz","Filler","Filler",5,"correct","1",1,"correct",1,"STREICHHOLZEnter","STREICHHOLZ","S",807
"181",2,21,"geige","Instrumente","Misc I",1,"correct","1",1,"correct",1,"GEIGEEnter","GEIGE","G",1095
"182",2,22,"mülleimer","Filler","Filler",1,"correct","1",1,"correct",1,"MÜLLEIMEREnter","MÜLLEIMER","M",1294
"183",2,23,"orchidee","Blumen","Misc II",1,"correct","1",1,"correct",1,"ORCHIDEEEnter","ORCHIDEE","O",1606
"184",2,24,"kuh","Huftiere","Tiere",1,"correct","1",1,"correct",1,"KUHEnter","KUH","K",746
"185",2,25,"gitarre","Instrumente","Misc I",2,"correct","1",1,"correct",1,"GITARREEnter","GITARRE","G",1103
"186",2,26,"löwenzahn","Blumen","Misc II",2,"almostcorrect","1",1,"correctedtocorrect",1,"LÄBackspaceÖWENZAHLBackspaceNEnter","LÖWENZAHN","L",1013
"187",2,27,"pferd","Huftiere","Tiere",2,"correct","1",1,"correct",1,"PFERDEnter","PFERD","P",1126
"188",2,28,"harfe","Instrumente","Misc I",3,"correct","1",1,"correct",1,"HARFEEnter","HARFE","H",991
"189",2,29,"tulpe","Blumen","Misc II",3,"correct","1",1,"correct",1,"TULPEEnter","TULPE","T",941
"190",2,30,"kamel","Huftiere","Tiere",3,"correct","1",1,"correct",1,"KAMELEnter","KAMEL","K",818
"191",2,31,"ampel","Filler","Filler",2,"correct","1",1,"correct",1,"AMPELEnter","AMPEL","A",790
"192",2,32,"sonnenblume","Blumen","Misc II",4,"correct","1",1,"correct",1,"SONNENBLUMEEnter","SONNENBLUME","S",1345
"193",2,33,"schlüssel","Filler","Filler",3,"correct","1",1,"correct",1,"SCHLÜSSELEnter","SCHLÜSSEL","S",725
"194",2,34,"klavier","Instrumente","Misc I",4,"correct","1",1,"correct",1,"KLAVIEREnter","KLAVIER","K",650
"195",2,35,"kassette","Filler","Filler",4,"almostcorrect","1",1,"correctedtocorrect",1,"KASEBackspaceSETTEEnter","KASSETTE","K",771
"196",2,36,"pfeife","Filler","Filler",5,"correct","1",1,"correct",1,"PFEIFEEnter","PFEIFE","P",875
"197",2,37,"schaf","Huftiere","Tiere",4,"correct","1",1,"correct",1,"SCHAFEnter","SCHAF","S",951
"198",2,38,"schlagzeug","Instrumente","Misc I",5,"correct","1",1,"correct",1,"SCHLAGZEUGEnter","SCHLAGZEUG","S",902
"199",2,39,"rose","Blumen","Misc II",5,"correct","1",1,"correct",1,"ROSEEnter","ROSE","R",1070
"200",2,40,"reh","Huftiere","Tiere",5,"correct","1",1,"correct",1,"REHEnter","REH","R",1029
"201",2,41,"würfel","Filler","Filler",1,"correct","1",1,"correct",1,"WÜRFELEnter","WÜRFEL","W",938
"202",2,42,"kette","Schmuck","Kleidung",1,"correct","1",1,"correct",1,"KETTEEnter","KETTE","K",1309
"203",2,43,"messer","Kochen","Werkzeug",1,"correct","1",1,"correct",1,"MESSEREnter","MESSER","M",840
"204",2,44,"leopard","Raubtiere","Tiere",1,"correct","1",1,"correct",1,"LEOPARDEnter","LEOPARD","L",1724
"205",2,45,"armband","Schmuck","Kleidung",2,"isna","NA",0,"isna",0,"NA","NA","K",2192
"206",2,46,"kelle","Kochen","Werkzeug",2,"correct","1",1,"correct",1,"KELLEEnter","KELLE","K",1083
"207",2,47,"mikrofon","Filler","Filler",2,"correct","1",1,"correct",1,"MIKROFONEnter","MIKROFON","M",1088
"208",2,48,"ring","Schmuck","Kleidung",3,"correct","1",1,"correct",1,"RINGEnter","RING","R",1156
"209",2,49,"löffel","Kochen","Werkzeug",3,"correct","1",1,"correct",1,"LÖFFELEnter","LÖFFEL","L",691
"210",2,50,"bär","Raubtiere","Tiere",2,"correct","1",1,"correct",1,"BÄREnter","BÄR","B",934
"211",2,51,"brosche","Schmuck","Kleidung",4,"correct","1",1,"correct",1,"BROSCHEEnter","BROSCHE","B",3248
"212",2,52,"schneebesen","Kochen","Werkzeug",4,"almostcorrect","1",1,"approx_correct",1,"SCHNEEBESEEnter","SCHNEEBESE","S",1578
"213",2,53,"tiger","Raubtiere","Tiere",3,"correct","1",1,"correct",1,"TIGEREnter","TIGER","T",1216
"214",2,54,"pinsel","Filler","Filler",3,"correct","1",1,"correct",1,"PINSELEnter","PINSEL","P",1006
"215",2,55,"schornstein","Filler","Filler",4,"almostcorrect","1",1,"first_letter_error",0,"KABackspaceBackspaceSCHORNSTEINEnter","SCHORNSTEIN","K",1296
