item;word;answercode;category
orchidee;ORCHIDEEEnter;correct;Blumen
orchidee;IRCHBackspaceBackspaceBackspaceBackspaceORCHIDEEEnter;first_letter_incorrect;Blumen
orchidee;;isna;Blumen
orchidee;BLUME ;semantic_relation;Blumen
orchidee;BLUMEEnter;semantic_relation;Blumen
orchidee;PLFANZE ;semantic_relation;Blumen
orchidee;BLMEEnter;semantic_relation;Blumen
orchidee;FLIEDER ;semantic_relation;Blumen
orchidee;HBackspaceORCHIDEE ;first_letter_incorrect;Blumen
rose;ROSE ;correct;Blumen
rose;ROSEEnter;correct;Blumen
rose;BLUBackspaceBackspaceBackspaceBackspaceROSE ;first_letter_incorrect;Blumen
rose;ORCHIDEEEnter;semantic_relation;Blumen
rose;ORCHIDEE ;semantic_relation;Blumen
sonnenblume;SCBackspaceONNENBLUMEEnter;almostcorrect;Blumen
sonnenblume;SONNEBBackspaceNBLUMEEnter;almostcorrect;Blumen
sonnenblume;SONNEBKUMEBackspaceBackspaceBackspaceBackspaceLUMEEnter;almostcorrect;Blumen
sonnenblume;SONNENBLUEBackspaceMEEnter;almostcorrect;Blumen
sonnenblume;SONNENBLUME ;correct;Blumen
sonnenblume;SONNENBLUMEEnter;correct;Blumen
sonnenblume;BBackspaceBackspaceSONNENBLUMEEnter;first_letter_incorrect;Blumen
sonnenblume;;isna;Blumen
sonnenblume;HHEnter;unrelated_other;Blumen
sonnenblume;EEnter;unrelated_other;Blumen
tulpe;TIULBackspaceBackspaceBackspaceULPE ;almostcorrect;Blumen
tulpe;TUIBackspaceLPEEnter;almostcorrect;Blumen
tulpe;TULIPEnter;almostcorrect;Blumen
tulpe;TULPFEEnter;almostcorrect;Blumen
tulpe;TULPE ;correct;Blumen
tulpe;TULPEEnter;correct;Blumen
tulpe;ABackspaceBackspaceBackspaceTULPEEnter;first_letter_incorrect;Blumen
tulpe;BBackspaceUBackspaceTULPEEnter;first_letter_incorrect;Blumen
tulpe;BLUEMBackspaceBackspaceME ;semantic_relation;Blumen
tulpe;BLUME ;semantic_relation;Blumen
tulpe;BLUMEEnter;semantic_relation;Blumen
tulpe;ROSEEnter;semantic_relation;Blumen
bleistift;BEISBackspaceBackspaceLBackspaceBackspaceLEISTIFTEnter;almostcorrect;Büro
bleistift;BELISTIFTEnter;almostcorrect;Büro
bleistift;BLE$IBackspaceBackspaceISTIFTEnter;almostcorrect;Büro
bleistift;BLEIFSTBackspaceBackspaceBackspaceSTIFTEnter;almostcorrect;Büro
bleistift;BLEISCHBackspaceBackspaceTIFTEnter;almostcorrect;Büro
bleistift;BLEISTFBackspaceIFTEnter;almostcorrect;Büro
bleistift;BLEISTIFTEBackspaceEnter;almostcorrect;Büro
bleistift;BLEISTIFTTEnter;almostcorrect;Büro
bleistift;STIFT ;almostcorrect;Büro
bleistift;BLEISTIFT ;correct;Büro
bleistift;BLEISTIFTEnter;correct;Büro
bleistift;NBackspaceSTIFTBackspaceBackspaceBackspaceBackspaceBackspaceBackspaceBLEISTIFT ;first_letter_incorrect;Büro
bleistift;SBackspaceBLEISTIFTEnter;first_letter_incorrect;Büro
bleistift;;isna;Büro
klammer;BRIEFKLAMMEREnter;almostcorrect;Büro
klammer;BÜROKABackspaceLAMMEREnter;almostcorrect;Büro
klammer;BÜROKALMMEREnter;almostcorrect;Büro
klammer;BÜROKLAMMER ;almostcorrect;Büro
klammer;BÜROKLAMMEREnter;almostcorrect;Büro
klammer;BÜROKÖABackspaceBackspaceLAMMEREnter;almostcorrect;Büro
klammer;KLAMERBackspaceBackspaceMER ;almostcorrect;Büro
klammer;KLAMMERNEnter;almostcorrect;Büro
klammer; KLAMMER ;backspace_space_enter;Büro
klammer;KLAMMER ;correct;Büro
klammer;KLAMMEREnter;correct;Büro
klammer;;isna;Büro
lineal;LINEAREnter;almostcorrect;Büro
lineal;LINELABackspaceBackspaceAL ;almostcorrect;Büro
lineal;LINELBackspaceAL ;almostcorrect;Büro
lineal;LINEAL ;correct;Büro
lineal;LINEALEnter;correct;Büro
lineal;SPULEEnter;unrelated_other;Büro
radiergummi;RADIEREREnter;almostcorrect;Büro
radiergummi;RADIERGUMIBackspaceMIEnter;almostcorrect;Büro
radiergummi;RADIERGUMMIGBackspaceEnter;almostcorrect;Büro
radiergummi;radierkBackspacegummi ;almostcorrect;Büro
radiergummi;RAIFEBackspaceBackspaceBackspaceDIERGUMMIEnter;almostcorrect;Büro
radiergummi;RADIERGUMMI ;correct;Büro
radiergummi;RADIERGUMMIEnter;correct;Büro
radiergummi;SBackspaceKBackspaceRADIERGUMMIEnter;first_letter_incorrect;Büro
radiergummi;;isna;Büro
radiergummi;DBackspaceRADIERGUMMI ;first_letter_incorrect;Büro
radiergummi;DBackspaceRADIERGUMMI ;first_letter_incorrect;Büro
schere;SCHEEBackspaceREEnter;almostcorrect;Büro
schere;SCHREBackspaceBackspaceEREEnter;almostcorrect;Büro
schere;SCHERE ;correct;Büro
schere;SCHEREEnter;correct;Büro
schere;OOBackspaceBackspaceBackspaceBackspaceSCHEREEnter;first_letter_incorrect;Büro
schere;;isna;Büro
schere;SCHEREnterE;almostcorrect;Büro
schere;SCHRBackspaceERE ;almostcorrect;Büro
ampel;AMOFELBackspaceBackspaceBackspacePFBackspaceBackspaceBackspacePFBackspaceEL ;almostcorrect;Filler
ampel;AMPEL ;correct;Filler
ampel;AMPELEnter;correct;Filler
baby;BABVBackspaceY ;almostcorrect;Filler
baby;BABY'BackspaceEnter;almostcorrect;Filler
baby;BABZBackspaceYEnter;almostcorrect;Filler
baby;BABY ;correct;Filler
baby;BABYEnter;correct;Filler
baby;VBABackspaceBackspaceBackspaceBABYEnter;first_letter_incorrect;Filler
badewanne;BADEWBackspaceWANNE ;almostcorrect;Filler
badewanne;BADWBackspaceEWANNE ;almostcorrect;Filler
badewanne;WANNEEnter;almostcorrect;Filler
badewanne;WBackspaceBASBackspaceDEWANNEEnter;first_letter_incorrect;Filler
badewanne;BADEWANNE ;correct;Filler
badewanne;BADEWANNEEnter;correct;Filler
badewanne;KWBackspaceBackspaceWANNE ;first_letter_incorrect;Filler
badewanne;;isna;Filler
badewanne;WANNE ;almostcorrect;Filler
ball;BAÖLBackspaceBackspaceLLEnter;almostcorrect;Filler
ball;BALL ;correct;Filler
ball;BALLEnter;correct;Filler
ball;PBackspaceBALL ;first_letter_incorrect;Filler
ball;eEnter;unrelated_other;Filler
briefkasten;BRIEFKASENBackspaceBackspaceTENEnter;almostcorrect;Filler
briefkasten;BRIEFKASTERNBackspaceBackspaceNEnter;almostcorrect;Filler
briefkasten;BRIEFKATSBackspaceBackspaceSTEN ;almostcorrect;Filler
briefkasten;BVBackspaceRIEFKASTENEnter;almostcorrect;Filler
briefkasten;BRIEFKASTEN ;correct;Filler
briefkasten;BRIEFKASTENEnter;correct;Filler
briefkasten;ABackspaceKASTEN ;first_letter_incorrect;Filler
briefkasten;;isna;Filler
briefkasten;POSTFACHEnter;almostcorrect;Filler
briefmarke;BIRBackspaceBackspaceRIEFMARKE ;almostcorrect;Filler
briefmarke;BRIEGBackspaceFMARKE ;almostcorrect;Filler
briefmarke;BRIEFMARKE ;correct;Filler
briefmarke;BRIEFMARKEEnter;correct;Filler
briefmarke;;isna;Filler
brille;BIRBackspaceBackspaceRILLÖEBackspaceBackspaceEEnter;almostcorrect;Filler
brille;BRILLE ;correct;Filler
brille;BRILLEEnter;correct;Filler
brille;GBackspaceBRILLEEnter;first_letter_incorrect;Filler
brille;VRBackspaceBackspaceBRILLE ;first_letter_incorrect;Filler
brille;SBackspaceBRILLEEnter;first_letter_incorrect;Filler
bürste;BBÜRSTEControlBackspaceBÜRSTEEnter;almostcorrect;Filler
bürste;BRBackspaceÜRSTEEnter;almostcorrect;Filler
bürste;BÜRSEBackspaceTEEnter;almostcorrect;Filler
bürste;HAARBÜRSTEEnter;almostcorrect;Filler
bürste;KAMControlABÜRSTE ;semantic_relation;Filler
bürste;KAMM ;semantic_relation;Filler
bürste;KAMMBackspaceBackspaceBackspaceBackspaceBÜRSTEEnter;semantic_relation;Filler
bürste;EnterBURSCGEnter;backspace_space_enter;Filler
bürste;BÜRSTE ;correct;Filler
bürste;BÜRSTEEnter;correct;Filler
bürste;KÜRSTE ;first_letter_incorrect;Filler
bürste;NBackspaceBackspaceBÜRSTEEnter;first_letter_incorrect;Filler
bürste;NÜRSTE ;first_letter_incorrect;Filler
bürste;;isna;Filler
cd;CEBackspaceDEnter;almostcorrect;Filler
cd;CFBackspaceD ;almostcorrect;Filler
cd;CHBackspaceD ;almostcorrect;Filler
cd;CD ;correct;Filler
cd;CDEnter;correct;Filler
cd;UBackspaceCD ;first_letter_incorrect;Filler
fächer;FECHEREnter;almostcorrect;Filler
fächer;FFÄCHEREnter;almostcorrect;Filler
fächer;FÄCHER ;correct;Filler
fächer;FÄCHEREnter;correct;Filler
fächer;SBackspaceFÄCHER ;first_letter_incorrect;Filler
fächer;;isna;Filler
fächer;FANEnter3Enter;unrelated_other;Filler
fenster;FENSEDRTBackspaceBackspaceBackspaceBackspaceTER ;almostcorrect;Filler
fenster;fentBackspacester ;almostcorrect;Filler
fenster;FENTEREnter;almostcorrect;Filler
fenster;FGEBackspaceBackspaceENSTEREnter;almostcorrect;Filler
fenster;FENSTER ;correct;Filler
fenster;FENSTEREnter;correct;Filler
fenster;GENBackspaceBackspaceFBackspaceBackspaceFENSTEREnter;first_letter_incorrect;Filler
fenster;HANBackspaceBackspaceBackspaceBackspaceFENSTEREnter;first_letter_incorrect;Filler
fenster;;isna;Filler
fernglas;FERNGLAD ;almostcorrect;Filler
fernglas;FERNGLAS ;correct;Filler
fernglas;FERNGLASEnter;correct;Filler
fernglas;DBackspaceFERNGLASEnter;first_letter_incorrect;Filler
fernglas;;isna;Filler
glocke;GLOKBackspaceCKEEnter;almostcorrect;Filler
glocke;KLINGEL ;almostcorrect;Filler
glocke;BackspaceBackspaceBackspaceGLOCKEEnter;backspace_space_enter;Filler
glocke;EnterGLOCKEEnter;backspace_space_enter;Filler
glocke;GLOCKE ;correct;Filler
glocke;GLOCKEEnter;correct;Filler
glocke;JBackspaceGLOCEBackspaceEKBackspaceBackspaceKE ;first_letter_incorrect;Filler
glocke;LBackspaceGLOCKEEnter;first_letter_incorrect;Filler
glocke;CLOCKEEnter;almostcorrect;Filler
käfig;KÖBackspaceÄFIG ;almostcorrect;Filler
kamera;KAMER ;almostcorrect;Filler
kamera;KAMERE ;almostcorrect;Filler
kamera;KAMERA ;correct;Filler
kamera;KAMERAEnter;correct;Filler
kamera;ABackspaceKAMERAEnter;first_letter_incorrect;Filler
kamera;;isna;Filler
kassette;KASEBackspaceSETEBackspaceBackspaceBackspaceBackspaceETTEEnter;almostcorrect;Filler
kassette;KASEBackspaceSETTEEnter;almostcorrect;Filler
kassette;KASEETTBackspaceBackspaceTTE ;almostcorrect;Filler
kassette;KASETTE ;almostcorrect;Filler
kassette;KASETTEBackspaceBackspaceBackspaceBackspaceSETBackspaceBackspaceBackspaceETTEEnter;almostcorrect;Filler
kassette;KASETTEEnter;almostcorrect;Filler
kassette;KASSBackspaceETTEEnter;almostcorrect;Filler
kassette;KASSETE ;almostcorrect;Filler
kassette;KASSETTE ;correct;Filler
kassette;KASSETTEEnter;correct;Filler
kassette;;isna;Filler
kerze;KERZE ;correct;Filler
kerze;KERZEEnter;correct;Filler
kerze;ERBackspaceBackspaceKERZEEnter;first_letter_incorrect;Filler
kerze;;isna;Filler
kopfhörer;KLBackspaceOPFHÖREREnter;almostcorrect;Filler
kopfhörer;KOPFHÖHREREnter;almostcorrect;Filler
kopfhörer;KOPFHÖREREEnter;almostcorrect;Filler
kopfhörer;KOPFHOREREnter;almostcorrect;Filler
kopfhörer;KOPFHÖRHEREnter;almostcorrect;Filler
kopfhörer;kopfhötrBackspaceBackspacerer ;almostcorrect;Filler
kopfhörer;KOPHBackspaceFHÖREREnter;almostcorrect;Filler
kopfhörer;KOPFHÖRER ;correct;Filler
kopfhörer;KOPFHÖREREnter;correct;Filler
kopfhörer;hBackspacekopfhörer ;first_letter_incorrect;Filler
kopfhörer;PBackspaceKOPHÖHREREnter;first_letter_incorrect;Filler
kopfhörer;;isna;Filler
kopfhörer;KOPHBackspaceFHÖRER ;almostcorrect;Filler
kopfkissen;KABackspaceISSENEnter;almostcorrect;Filler
kopfkissen;KISEBackspaceSENEnter;almostcorrect;Filler
kopfkissen;KISSE ;almostcorrect;Filler
kopfkissen;KISSEN ;almostcorrect;Filler
kopfkissen;KISSENEnter;almostcorrect;Filler
kopfkissen;KOPFKISSEN ;correct;Filler
kopfkissen;KOPFKISSENEnter;correct;Filler
kopfkissen;ShiftkOPFKISSENEnter;shift_start;Filler
lippenstift;LIFFENSBackspaceBackspaceBackspaceBackspaceBackspacePPFENSTIFTEnter;almostcorrect;Filler
lippenstift;LIPPENSCHBackspaceBackspaceTIFTEnter;almostcorrect;Filler
lippenstift;LIPPENSTBackspaceTIFTEnter;almostcorrect;Filler
lippenstift;LIPPENSTIFF ;almostcorrect;Filler
lippenstift;lippenstifrtEnter;almostcorrect;Filler
lippenstift;LIPPENSTIGBackspaceFTEnter;almostcorrect;Filler
lippenstift;LIPPENTIFTArrowLeftArrowLeftArrowLeftArrowLeftSEnter;almostcorrect;Filler
lippenstift;LIPPENSTIFT ;correct;Filler
lippenstift;LIPPENSTIFTEnter;correct;Filler
lippenstift;;isna;Filler
lippenstift;HIRSHEnter;unrelated_other;Filler
lippenstift;LIPPENSTFTBackspaceBackspaceBackspaceTIFTEnter;almostcorrect;Filler
luftballon;BALLBackspaceBackspaceBackspaceBackspaceLUFTBALLONEnter;almostcorrect;Filler
luftballon;BALLON ;almostcorrect;Filler
luftballon;BALLONEnter;almostcorrect;Filler
luftballon;BLABackspaceBackspaceALLON ;almostcorrect;Filler
luftballon;LIFTBackspaceBackspaceBackspaceUFTBALLONEnter;almostcorrect;Filler
luftballon;LUFTBALLONEnterBackspace;almostcorrect;Filler
luftballon;LUFTBALLON ;correct;Filler
luftballon;LUFTBALLONEnter;correct;Filler
luftballon;FBackspaceLUFTBALLONEnter;first_letter_incorrect;Filler
luftballon;;isna;Filler
luftballon;LUFTBALLOONEnter;almostcorrect;Filler
mikrofon;MIKORBackspaceBackspaceROFONEnter;almostcorrect;Filler
mikrofon;MIKOROFNEnter;almostcorrect;Filler
mikrofon;MIKROPHONEnter;almostcorrect;Filler
mikrofon;MIRKBackspaceBackspaceKROFON ;almostcorrect;Filler
mikrofon;MIRKOBackspaceBackspaceBackspaceKROFON ;almostcorrect;Filler
mikrofon;MOBackspaceIKROFONEnter;almostcorrect;Filler
mikrofon;MIKROFON ;correct;Filler
mikrofon;MIKROFONEnter;correct;Filler
mikrofon;ABackspaceMIKROFON ;first_letter_incorrect;Filler
mikrofon;KBackspaceMIKROFONEnter;first_letter_incorrect;Filler
mikrofon;;isna;Filler
mülleimer;EIMERBackspaceBackspaceBackspaceBackspaceBackspaceMÜLLEIMEREnter;semantic_relation;Filler
mülleimer;M*BackspaceÜLLEIMEREnter;almostcorrect;Filler
mülleimer;MÜLEIMEBackspaceBackspaceBackspaceBackspaceLEIMEREnter;almostcorrect;Filler
mülleimer;MÜLLEIMREBackspaceBackspaceEREnter;almostcorrect;Filler
mülleimer;MÜLLEREnter;almostcorrect;Filler
mülleimer;MÜLLEIMER ;correct;Filler
mülleimer;MÜLLEIMEREnter;correct;Filler
mülleimer;BBackspaceMÜLLEIMER ;first_letter_incorrect;Filler
mülleimer;;isna;Filler
mülleimer;EIMER ;semantic_relation;Filler
mülleimer;MPBackspaceÜLLEIMEREnter;almostcorrect;Filler
mülleimer;MÜLLTONNE ;almostcorrect;Filler
parfum;PARFIBackspaceUMEnter;almostcorrect;Filler
parfum;parfü,BackspacemEnter;almostcorrect;Filler
parfum;parfumBackspaceBackspaceüm ;almostcorrect;Filler
parfum;PARFÜÜBackspaceM ;almostcorrect;Filler
parfum;PARMBackspaceBackspaceRFÜM ;almostcorrect;Filler
parfum;CapsLockPARFÜMEnter;backspace_space_enter;Filler
parfum;PARFUM ;correct;Filler
parfum;PARFUMEnter;correct;Filler
parfum;ABackspacePARUMEnter;first_letter_incorrect;Filler
parfum;FBackspacePARFUMEnter;first_letter_incorrect;Filler
parfum;OARFUMBackspaceBackspaceBackspaceBackspaceBackspaceBackspacePARFUMEnter;first_letter_incorrect;Filler
parfum;RABackspaceBackspacePARFUM ;first_letter_incorrect;Filler
parfum;ShiftpARFÜBackspaceUMEnter;shift_start;Filler
parfum;PAFUMEnter;correct;Filler
parfum;PARUM ;almostcorrect;Filler
parfum;PARUM ;almostcorrect;Filler
pfeife;PFEIFFEEnter;almostcorrect;Filler
pfeife;PFIBackspaceEIFE ;almostcorrect;Filler
pfeife;BackspaceBackspaceBackspaceBackspaceBackspaceBackspaceBackspaceBackspaceBackspacePFEIFEEnter;backspace_space_enter;Filler
pfeife;BackspacePEBackspaceFEIFE ;backspace_space_enter;Filler
pfeife;EnterPFIFFDEEnter;backspace_space_enter;Filler
pfeife;PFEIFE ;correct;Filler
pfeife;PFEIFEEnter;correct;Filler
pfeife;eBackspaceBackspaceBackspacepfiBackspaceeifeEnter;first_letter_incorrect;Filler
pfeife;FEBackspaceBackspaceBackspacePFEIFEEnter;first_letter_incorrect;Filler
pfeife;SBackspacePFEIFEEnter;first_letter_incorrect;Filler
pfeife;;isna;Filler
pfeife;PFEIEFBackspaceBackspaceFEEnter;almostcorrect;Filler
pinsel;PISEBackspaceBackspaceNSELEnter;almostcorrect;Filler
pinsel;PINSEL ;correct;Filler
pinsel;PINSELEnter;correct;Filler
pinsel;BBackspacePINSELEnter;first_letter_incorrect;Filler
pinsel;FBackspacePINSEL ;first_letter_incorrect;Filler
pinsel;"WBackspacePINSE;LEnter";first_letter_incorrect;Filler
pinsel;;isna;Filler
puppe;PUPPE ;correct;Filler
puppe;PUPPEEnter;correct;Filler
puppe;BBackspacePUPPEEnter;first_letter_incorrect;Filler
puppe;ÜBackspacePUPPE ;first_letter_incorrect;Filler
puppe;PUPP ;almostcorrect;Filler
puppe;PUPEBackspacePE ;almostcorrect;Filler
schlüssel;SCHHLÜSSEKEnter;almostcorrect;Filler
schlüssel;SCHL*SSBackspaceBackspaceÜBackspaceBackspaceÜSSELEnter;almostcorrect;Filler
schlüssel;SCHLÜSSEKBackspaceLEnter;almostcorrect;Filler
schlüssel;SCHLUSSELEnter;almostcorrect;Filler
schlüssel;SCHLÜSSEL ;correct;Filler
schlüssel;SCHLÜSSELEnter;correct;Filler
schornstein;kamin ;almostcorrect;Filler
schornstein;KAMINEnter;almostcorrect;Filler
schornstein;SCHONBackspaceRNSTEIN ;almostcorrect;Filler
schornstein;SCHORNSTIBackspaceEINEnter;almostcorrect;Filler
schornstein;SCHORNSTIEN ;almostcorrect;Filler
schornstein;SCHRBackspaceORNSTEINEnter;almostcorrect;Filler
schornstein;schronBackspaceBackspaceBackspaceornsteinEnter;almostcorrect;Filler
schornstein;SCHORNSTEIN ;correct;Filler
schornstein;SCHORNSTEINEnter;correct;Filler
schornstein;KABackspaceBackspaceSCHORNSTEINEnter;almostcorrect;Filler
schornstein;;isna;Filler
schornstein; BackspaceEnter;unrelated_other;Filler
schwamm;SABackspaceCHWAMMEnter;almostcorrect;Filler
schwamm;SCHWAMEnter;almostcorrect;Filler
schwamm;SCHWANBackspaceMM ;almostcorrect;Filler
schwamm;SCHWANBackspaceMMEnter;almostcorrect;Filler
schwamm;SCHWAMM ;correct;Filler
schwamm;SCHWAMMEnter;correct;Filler
schwamm;;isna;Filler
schwert;SCHWARBackspaceBackspaceERT ;almostcorrect;Filler
schwert;SCHWARTBackspaceBackspaceBackspaceERTEnter;almostcorrect;Filler
schwert;SCHWEREnter;almostcorrect;Filler
schwert;SCHWERT ;correct;Filler
schwert;SCHWERTEnter;correct;Filler
schwert;ABackspaceSCHWERTEnter;first_letter_incorrect;Filler
schwert;;isna;Filler
schwert;MESSEREnter;semantic_relation;Filler
spaghetti;NUDELN ;almostcorrect;Filler
spaghetti;NUDELNEnter;almostcorrect;Filler
spaghetti;SPAGEBackspaceHETTIEnter;almostcorrect;Filler
spaghetti;SPAGETHIBackspaceBackspaceTHIEnter;almostcorrect;Filler
spaghetti;spagettiEnter;almostcorrect;Filler
spaghetti;SPAHGBackspaceBackspaceGHETTIEnter;almostcorrect;Filler
spaghetti;SPOABackspaceBackspaceAGEBackspaceHETTI ;almostcorrect;Filler
spaghetti;SPAGHETTI ;correct;Filler
spaghetti;SPAGHETTIEnter;correct;Filler
spaghetti;;isna;Filler
spaghetti;SPAGHETIBackspaceTIEnter;almostcorrect;Filler
steckdose;SCBackspaceTECKDOSEEnter;almostcorrect;Filler
steckdose;STECDBackspaceKDOSEEnter;almostcorrect;Filler
steckdose;STECKDOEEnter;almostcorrect;Filler
steckdose;STECKDOSE ;correct;Filler
steckdose;STECKDOSEEnter;correct;Filler
steckdose;SBackspaceSTECKDOSEEnter;first_letter_incorrect;Filler
steckdose; STECKDOSE ;backspace_space_enter;Filler
streichholz;STEICHHOLZEnter;almostcorrect;Filler
streichholz;STRECBackspaceICHHOLZEnter;almostcorrect;Filler
streichholz;STTREIBackspaceBackspaceBackspaceBackspaceEICHHOLZ ;almostcorrect;Filler
streichholz;STREICHHOLZ ;correct;Filler
streichholz;STREICHHOLZEnter;correct;Filler
streichholz;ONBackspaceBackspaceBackspaceSTREICHHOLZEnter;first_letter_incorrect;Filler
streichholz;;isna;Filler
tafel;TAFEBackspaceELEnter;almostcorrect;Filler
tafel;TAFFBackspaceELEnter;almostcorrect;Filler
